"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"nouns","household","bag",,,,"תיק",,,,,,
"nouns","household","basket",,,"basket",,,,"корзина",,,
"nouns","household","battery",,,,,,,,,,"pil"
"nouns","household","bell","zvono",,,,,,,,,
"nouns","household","blanket","deka","blanket","blanket","שמיכה","dyne, teppe","одеяло","одеяло","cobija","filt","battaniye"
"nouns","household","bottle","boca","bottle","bottle","בקבוק","flaske","бутылочка","бутылочка","botlmam","flaska","şişe"
"nouns","household","bowl","zdjelica","bowl","bowl","קערה","skål",,,,"skål",
"nouns","household","box","kutija","box","box","קופסה","eske","коробка","коробка","caja",,"kutu"
"nouns","household","broom","metla","broom","broom","מטאטא","kost","веник","веник","escoba","borste",
"nouns","household","brush","četka","brush","brush","מברשת","børste",,,"cepidnt",,
"nouns","household","bucket",,,"bucket",,,,,,,
"nouns","household","camera",,,"camera",,,"фотоаппарат","фотоаппарат",,,
"nouns","household","can (object)",,,"can (object)",,,,,,,
"nouns","household","candle",,,,,,,,"vela","ljus",
"nouns","household","cigarette",,,,,,,,"cigarrs",,
"nouns","household","clock",,"clock","clock","שעון","klokke",,,,"klocka","saat"
"nouns","household","cloth",,,,,,,,"trapo",,
"nouns","household","comb (object)","češalj","comb","comb","מסרק","kam","расческа","расческа","peine","kam","tarak"
"nouns","household","computer",,,,,,,"компьютер",,,
"nouns","household","cup","šalica","cup","cup","כוס","kopp","кружка, чашка","кружка, чашка","taza","kopp",
"nouns","household","dish",,"dish","dish",,,,"посуда",,"fat",
"nouns","household","drawer",,,,,,,,,"låda",
"nouns","household","dustpan",,,,,,"совок (для мусора)","совок (для мусора)",,,
"nouns","household","flower",,,,,,,,,"blomma",
"nouns","household","flowerpot",,,,"עציץ",,,,,,
"nouns","household","fork","vilica","fork","fork","מזלג","gaffel","вилка","вилка","tenedor","gaffel","çatal"
"nouns","household","garbage",,,"garbage",,,,,,,
"nouns","household","glass","čaša","glass","glass",,"glass",,"стакан","vaso","glas",
"nouns","household","glasses","naočale","glasses","glasses","משקפיים","briller",,,,"glasögon","bardak"
"nouns","household","hammer","čekić","hammer","hammer","פטיש","hammer","молоток","молоток","martill","hammare",
"nouns","household","handkerchief",,,,,,"платок (носовой)","платок",,,
"nouns","household","iron",,,,,,,"утюг",,,
"nouns","household","jar",,,"jar",,,"банка","банка",,,
"nouns","household","keys","ključevi","keys","keys","מפתחות","nøkler","ключи","ключи","llaves","nycklar","anahtar"
"nouns","household","knife","nož",,"knife",,"kniv","нож","нож","cuchill","kniv",
"nouns","household","lamp","svjetiljka","lamp","lamp","מנורה","lampe","лампа","лампа",,"lampa","lamba/işık"
"nouns","household","light","svjetlo","light","light","אור","lys","свет","свет","luz",,
"nouns","household","medicine","lijek","medicine","medicine","תרופה","medisin","лекарство/таблетка","лекарство","medicin","medicin","ilaç"
"nouns","household","mirror",,,,,,,,"espejo",,"ayna"
"nouns","household","money","novci","money","money","כסף","penger","деньги","деньги","dinero","pengar",
"nouns","household","mop",,,"mop",,,,"швабра",,,
"nouns","household","nail",,,,,,"гвоздь","гвоздь",,,
"nouns","household","nails",,,"nail",,,,,,,
"nouns","household","napkin",,,"napkin",,,,,,,
"nouns","household","pacifier","bočica (s dudom)",,,"מוצץ",,"соска","соска","chupete",,"biberon, emzik"
"nouns","household","paper","papir","paper","paper","נייר","papir","бумага","бумага","papel","papper","kağıt"
"nouns","household","penny",,"penny","penny",,,"монетка","монетка",,"mynt",
"nouns","household","photos",,,,,,,,"fotos",,
"nouns","household","picture","slika","picture","picture","תמונה","bilde","картинка","картинка","cuadro","bild","resim"
"nouns","household","pill",,,,,,,"таблетка",,,
"nouns","household","pillow","jastuk","pillow","pillow","כרית","pute","подушка","подушка","almohad","kudde",
"nouns","household","pipe",,,,,,,,,,"pipet/kamış"
"nouns","household","plant","biljka","plant","plant","צמח","plante",,,,,
"nouns","household","plate","tanjur","plate","plate","צלחת","tallerken","тарелка","тарелка","plato",,"tabak"
"nouns","household","pot",,,,"סיר",,"кастрюля","кастрюля",,,
"nouns","household","potty",,,,,,"горшок","горшок",,,
"nouns","household","purse","novčanik","purse","purse","ארנק","lommebok",,"сумка","bolsa","börs","çanta"
"nouns","household","radio","radio","radio","radio","רדיו","radio","радио","радио","radio","radio","radyo"
"nouns","household","rag",,,,,,"тряпка","тряпка",,,
"nouns","household","refrigerator",,,,,,"холодильник","холодильник",,,
"nouns","household","remote control",,,,,,,,,,"kumanda"
"nouns","household","rope",,,,,,,,,,"ip"
"nouns","household","scissors","škare","scissors","scissors","מספריים","saks","ножницы","ножницы","tijeras","sax",
"nouns","household","shampoo",,,,,,,"шампунь",,,
"nouns","household","shovel",,,,,,,,,,"kürek"
"nouns","household","sink",,,,,,"таз","таз",,,
"nouns","household","soap","sapun","soap","soap","סבון","såpe","мыло","мыло","jabon","tvål","sabun"
"nouns","household","spoon","žlica","spoon","spoon","כף, כפית","skje","ложка","ложка","cuchara","sked","kaşık"
"nouns","household","stove",,,,,,,"плита",,,
"nouns","household","stroller",,,,,,,"коляска",,,
"nouns","household","tape",,,"tape",,,,,,,
"nouns","household","teapot",,,,,,"чайник","чайник",,,
"nouns","household","telephone","telefon","telephone","telephone","טלפון","telefon","телефон","телефон","telefon","telefon","telefon"
"nouns","household","tissue/kleenex",,,"tissue/kleenex",,,,,,,
"nouns","household","toothbrush","četkica (za zube)","toothbrush","toothbrush","מברשת שיניים","tannbørste",,,"cepillo","tandborste",
"nouns","household","towel","ručnik","towel","towel","מגבת","håndkle","полотенце","полотенце","toalla","handduk",
"nouns","household","trash","smeće","trash","trash","אשפה","søppel","мусор","мусор","basura","skräp",
"nouns","household","tray",,,"tray",,,,,,,
"nouns","household","tv",,,,,,"телевизор","телевизор",,,
"nouns","household","vacuum","usisivač","vacuum","vacuum","שואב אבק","støvsuger",,"пылесос","aspirdo","dammsugare","süpürge"
"nouns","household","voice recorder",,,,,,"магнитофон","магнитофон",,,
"nouns","household","walker",,,"walker",,,,,,,
"nouns","household","wallet",,,,,,,"кошелек",,,
"nouns","household","washing machine",,,,,,,"стиральная машина",,,
"nouns","household","watch (object)","sat","watch (object)","watch (object)",,,"часы","часы","reloj",,
