"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"places","bathhouse","","","","","","","","баня","","",""
"places","beach","","","beach","","","strand","","","","",""
"places","camping","","","camping","","","","","","","",""
"places","church","","","","","","kirke","","церковь","","",""
"places","church*","","","church*","","","","","","","",""
"places","circus","","","circus","","","","","","","",""
"places","city","","","","","","","","город","","",""
"places","country","","","country","","","","","","","",""
"places","country house","","","","","","","","дача","","",""
"places","downtown","","","downtown","","","","","","","",""
"places","farm","","","farm","","","","","","","",""
"places","garage","","","","","","","","гараж","","",""
"places","garden","","","","","","hage","","сад/садик","","",""
"places","gas station","","","gas station","","","","","","","",""
"places","grocery","","","","","","","","","","","bakkal"
"places","home","","","home","","","hjem","","","","","ev"
"places","house","","","house","","","hus","","дом","","",""
"places","kindergarten","","","","","","","","детский сад","","",""
"places","lake","","","","","","","","озеро","","",""
"places","market","","","","","","","","","","","çarşı, market, pazar"
"places","movie","","","movie","","","","","","","",""
"places","outing","","","","","","","","гости","","","atta"
"places","outside","","","outside","","","","","","","","dışarı"
"places","park","","","park","","","park","","парк","","","park"
"places","party","","","party","","","fest","","","","",""
"places","picnic","","","picnic","","","","","","","",""
"places","playground","","","playground","","","","","площадка (детская)","","",""
"places","playgroup","","","","","","","","группа","","",""
"places","pool","","","","","","svømmehall","","бассейн","","",""
"places","river","","","","","","","","река","","",""
"places","sandbox","","","","","","","","песочница","","",""
"places","school","","","school","","","skole","","","","","okul"
"places","sea","","","","","","","","","","","deniz"
"places","slide (object)","","","","","","","","горка","","",""
"places","store","","","store","","","butikk","","магазин","","","dükkan"
"places","street","","","","","","","","улица","","",""
"places","swing (object)","","","","","","","","качели","","",""
"places","village","","","","","","","","","","","köy"
"places","woods","","","woods","","","","","лес","","",""
"places","work (place)","","","work (place)","","","jobb","","работа","","","iş"
"places","yard","","","yard","","","","","двор","","",""
"places","zoo","","","zoo","","","dyrehage","","зоопарк","","",""
