"lexical_category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"predicates","all gone","gotovo","all gone","","","borte","","","borta",""
"predicates","angry","","","","arrabbiato","","","enojado","",""
"predicates","asleep","spava","asleep","","","","","sueno","sover",""
"predicates","bad","zločest(o)","bad","רע","cattivo","frekk","плохой","malo","dålig",""
"predicates","badly","","","","","","плохо","","",""
"predicates","bathe","","","","","","","","","yıkan"
"predicates","beautiful","","","","","skjønn","","","",""
"predicates","beautifully","","","","","","красиво","","",""
"predicates","begin","","","","","","","","","başla, ol"
"predicates","big","velik(o)","big","גדול","grande/grosso","stor","большой","grande","stor","büyük, kocaman"
"predicates","bite","gristi","bite","לנשוך","mordere","bite","кусать/кусаться","morder","bita","isır"
"predicates","bitter","","","","","","","","","acı (lezzet)"
"predicates","black","","","","nero","","черный","","",""
"predicates","bless","","","לברך","","","","","",""
"predicates","blow","puhati","blow","לנשוף","soffiare","blåse","дуть","soplar","blåsa",""
"predicates","blue","plava","blue","","","blå","синий","azul","blå",""
"predicates","break","razbiti","break","לשבור","rompere","ødelegge","","romper","bryta","kır"
"predicates","bring","donijeti","bring","להביא","","","принести","","","getir"
"predicates","broken","","broken","מקולקל, שבור","rotto","ødelagt","","roto","trasig",""
"predicates","bump","","bump","","","","","","",""
"predicates","buy","kupiti","","","","","","","",""
"predicates","can","","","","","","","poder","",""
"predicates","careful","","careful","זהיר","attento","forsiktig","","cuidado","försiktig",""
"predicates","carefully","","","","","","осторожно","","",""
"predicates","carry","","","","","","","","","taşı"
"predicates","catch","","","","","","","","","yakala"
"predicates","clap","","","","","","хлопать","","",""
"predicates","clean","","","","pulire, pulito","","","","",""
"predicates","clean (action)","čistiti","clean (action)","לנקות","","rydde","","","städa",""
"predicates","clean (description)","čist(o)","clean (description)","נקי","","ren","чистый","limpio","ren","temiz"
"predicates","cleanly","","","","","","чисто","","",""
"predicates","climb","","","","","","залезть","subir","","çık"
"predicates","close","zatvoriti","close","לסגור","chiudere","lukke","закрыть","cerrar","stänga","kapat"
"predicates","closed (description)","","","","","","","","","kapalı"
"predicates","cold","hladno, zima","cold","קר","freddo","kald","холодный","frio","kall","soğuk"
"predicates","coldly","","","","","","холодно","","",""
"predicates","collect","","","","","","собирать","","",""
"predicates","comb (action)","","","לסרק","pettinare","","","peinars","","tara"
"predicates","come","","","","venire","","","","","gel"
"predicates","cough","","","","","","","","","öksür"
"predicates","count","","","","","","","","","say"
"predicates","cover","","","","","","","","","ört"
"predicates","cry","plakati","cry","לבכות","piangere","gråte","плакать","llorar","gråta","ağla"
"predicates","cute","","cute","חמוד","carino","søt","","guapo","","cici"
"predicates","dance","plesati","dance","לרקוד","ballare","danse","танцевать","bailar","dansa",""
"predicates","dark","mrak","dark","","buio","mørkt","","oscuro","mörk","karanlık"
"predicates","darkly","","","","","","темно","","",""
"predicates","descend","","","לרדת","","","","","",""
"predicates","die","","","","","","","","","öl"
"predicates","different","","","","","","","difernt","",""
"predicates","dig","","","","","","копать","","",""
"predicates","dirtily","","","","","","грязно","","",""
"predicates","dirty","prljav(o)","dirty","מלוכלך","sporco","skitten","грязный","sucio","smutsig","kirli, pis"
"predicates","do","","","","","","","","","yap"
"predicates","draw","crtati","draw","לצייר","","tegne","","dibujar","rita","çiz"
"predicates","dress","","","","","","","","","gıdıkla"
"predicates","dress (action)","","","","","","одеть","","",""
"predicates","drink","","","","bere","","","","",""
"predicates","drink (action)","piti","drink (action)","לשתות","","drikke","пить","","","iç"
"predicates","drink (beverage)","","","","","","","","dricka",""
"predicates","drive","voziti","drive","לנהוג, לרכב","","kjøre","ездить/ехать","","köra",""
"predicates","drop","","","","","","","","","bırak"
"predicates","dry","","","","asciutto","","","","",""
"predicates","dry (action)","","","","","tørke","","secarse","",""
"predicates","dry (description)","suh(o)","dry (description)","יבש","","tørr","","","torr",""
"predicates","dump","","","","buttare","","","","",""
"predicates","easy","","","","","grei","","","",""
"predicates","eat","jesti","eat","לאכול","mangiare","spise","есть, кушать","comer","äta","ye"
"predicates","eat breakfast","","","","","","","desyuna","",""
"predicates","eat dinner","","","","","","","cenar","",""
"predicates","empty","prazno","empty","ריק","vuoto","tom","","vacio","tom","boş"
"predicates","enter","","","","","","","","","git"
"predicates","fall","pasti","fall","ליפול","cadere","falle","падать","caer","falla","düş"
"predicates","fast","brz(o)","fast","מהר","","fort","","","fort",""
"predicates","fat","","","שמן","","","","","",""
"predicates","feed","","feed","להאכיל","","mate","кормить","","mata","yedir"
"predicates","fight","tući","","","","","","","",""
"predicates","find","","","","","","","","","bul"
"predicates","fine","divno, fin(o)","fine","","","fin","","","fin",""
