"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"clothing","beads","","beads","beads","","","","","бусы","aretes","pärlor","boncuk"
"clothing","belt","","","belt","","","","","","","",""
"clothing","bib","","bib","bib","סינור","","smekke","нагрудник","","babera","","önlük"
"clothing","boots","čizme","boots","boots","מגפיים","","støvler","ботинки, сапоги","ботинки, валенки, сапоги","botas","kängor, stövel",""
"clothing","button","gumb","button","button","כפתור","bottone","knapp","пуговица","пуговица","boton","knapp",""
"clothing","clothes","","","","","","","","одежда","","",""
"clothing","coat","kaput","coat","coat","מעיל","cappotto","regntøy","куртка","куртка, пальто","","","palto"
"clothing","diaper","pelena","diaper","diaper","טיטול","pannolino","bleie","памперс","","panal","blöja","bez (çocuk bezi)"
"clothing","dress","haljina","dress","","שמלה","vestito","kjole","","платье","vestido","","elbise"
"clothing","dress  (object)","","","dress","","","","","","","",""
"clothing","dress (object)","","","","","","","платье","","","",""
"clothing","glasses","","","","","occhiali","","","","lentes","","gözlük"
"clothing","gloves","","","gloves","","guanti","","","перчатки","","",""
"clothing","hat","kapa","hat","hat","כובע","cappello","lue","шапка","шапка","sombrer","mössa","şapka"
"clothing","jacket","jakna","jacket","jacket","","giacca","jakke","","","","jacka","ceket"
"clothing","jeans","","jeans","jeans","ג'ינס","","","","","","jeans",""
"clothing","mittens","rukavice","","mittens","","","votter","варежки/рукавицы","варежки/рукавицы","","vantar",""
"clothing","necklace","","necklace","necklace","שרשרת","collana","halskjede","","","collar","halsband","kolye"
"clothing","nightgown","","","","","","","","","","nattlinne",""
"clothing","overalls","","","","","","","","","","overall",""
"clothing","pacifier","","","","","","smokk","","","","",""
"clothing","pajamas","pidžama","pajamas","pajamas","פיג'מה","pigiama","pysjamas","","пижама","pijama","pyjamas","pijama"
"clothing","pants","hlače","pants","pants","טריינינג","pantaloni","bukse","штаны","брюки, штаны","pantalo","byxa","pantolon"
"clothing","sandals","","","","סנדלים","","","босоножки","босоножки","","",""
"clothing","scarf","šal","","scarf","","sciarpa","","шарф","шарф","","",""
"clothing","shirt","majica","shirt","shirt","חולצה","","t-skjorte","кофта, рубашка","кофта, майка, рубашка","playera","skjorta","gömlek, tişört"
"clothing","shoe","cipele","shoe","shoe","נעליים","scarpe","sko","туфли","кроссовки, обувь, туфли","zapato","sko","ayakkabı/pabuç"
"clothing","shorts","","shorts","shorts","מכנסיים","","shorts","","шорты","shorts","",""
"clothing","skirt","suknja","","","חצאית","gonna","","","","falda","",""
"clothing","slipper","papuče","","slipper","","","","тапки","тапки","","","terlik"
"clothing","sneaker","","","sneaker","","","","","","","",""
"clothing","snowsuit","","","snowsuit","","","","комбинезон","комбинезон","","",""
"clothing","sock","čarape","sock","sock","גרביים","","sokker","носки","носки","calceti","socka","çorap"
"clothing","sweater","vesta/džemper","sweater","sweater","סוודר","maglione","genser","","свитер","sueter","tröja","kazak"
"clothing","swimsuit","","","","בגד ים","","","","","","",""
"clothing","tank top","","","","גופיה","","","","","","",""
"clothing","tights","","","tights","","calze","strømpebukse","колготки","колготки","","",""
"clothing","tracksuit","","","","","tuta","","","","","",""
"clothing","underpants","","","underpants","","mutande","","","","","",""
"clothing","underwear","gaćice","","","","","","трусы","трусы","calzon","",""
"clothing","vest","","","","אפודה","","","","","","","yelek"
"clothing","zipper","zatvarač","zipper","zipper","רוכסן","","glidelås","","","cierre","blixtlås",""
