"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"time_words","a lot","","","","tanto","","","","",""
"time_words","after","","","אח'כ","dopo/poi","","потом","despues","",""
"time_words","again","","","","ancora","","","","",""
"time_words","all","","","","tutto","","","","",""
"time_words","any","","","","niente, un po'","","","","",""
"time_words","day","dan","day","","","dag","днем","dia","dag",""
"time_words","early","","","","","","рано","tempran","",""
"time_words","evening","","","","","","","","","akşam"
"time_words","late","","","","tardi","","поздно/позже","","",""
"time_words","later","poslije","later","","","senere","","","senare",""
"time_words","little (amount)","","","","poco","","","","",""
"time_words","lunchtime","","","צהריים","","","","","",""
"time_words","moment","","","רגע","","","","","",""
"time_words","morning","jutro","morning","בוקר","mattina","morgen","утром","","morgon","sabah"
"time_words","much","","","","di più, molto","","","","",""
"time_words","night","noć","night","לילה","notte","natt","ночью","noche","natt","gece"
"time_words","none","","","","nessuno","","","","",""
"time_words","now","sad(a)","now","עכשיו","adesso/ora","nå","сейчас","ahorita","nu","hemen, şimdi"
"time_words","sabbath","","","שבת","","","","","",""
"time_words","time","","","פעם","","","","","",""
"time_words","today","danas","today","היום","oggi","i dag","","hoy","idag","bugün"
"time_words","tomorrow","sutra","tomorrow","מחר","domani","i morgen","завтра","manana","imorgon",""
"time_words","tonight","večeras","tonight","","","i kveld","","","ikväll",""
"time_words","yesterday","","","אתמול","ieri","","вчера","ayer","",""
