"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"question_words","how","kako","how","איך","come?","hvordan","","como","hur","nasıl"
"question_words","how much","","","כמה","","","","","",""
"question_words","what","što","what","מה, מה זה","che/che cosa?","hva","что?","que","vad","ne"
"question_words","when (question)","kad(a)","when","מתי","quando?","når","","","när",""
"question_words","where","","","","","","куда?","","",""
"question_words","where (question)","gdje","where","איפה","dove?","hvor","где?","dondest","var","nerede, nereye"
"question_words","which (question)","","","","","","какой?","cual","",""
"question_words","who","tko","who","מי, מי זה ","chi?","hvem","кто?","quien","vem","kim"
"question_words","whose","","","","","","чей?","","",""
"question_words","why","zašto","why","למה","perché?","hvorfor","","porque","varför","neden, niye"
