"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"nouns","furniture_rooms","armchair","fotelja",,,"כורסה",,"кресло","кресло",,,"koltuk"
"nouns","furniture_rooms","balcony",,,,,,,"балкон",,,
"nouns","furniture_rooms","basement",,,"basement",,,,,,,
"nouns","furniture_rooms","bathroom","kupaonica","bathroom","bathroom","שירותים","bad","туалет","туалет","bano","badrum","banyo"
"nouns","furniture_rooms","bathtub","kada","bathtub","bathtub","אמבטיה","badekar","ванна","ванна","tina","badkar",
"nouns","furniture_rooms","bed","krevet","bed","bed","מיטה","seng","кровать","кровать","cama","säng","yatak"
"nouns","furniture_rooms","bedroom",,"bedroom","bedroom","חדר שינה","soverom",,,"recamar","sovrum",
"nouns","furniture_rooms","bell",,,,,,,,,,"zil"
"nouns","furniture_rooms","bench",,,"bench",,,,,,,
"nouns","furniture_rooms","carpet",,,,"שטיח",,"ковер","ковер",,,
"nouns","furniture_rooms","chair","stolica","chair","chair","כיסא","stol","стул","стул","silla","stol","sandalye/iskemle"
"nouns","furniture_rooms","closet",,,"closet",,,,"шкаф","ropero",,
"nouns","furniture_rooms","computer",,,,,,,,,,"bilgisayar"
"nouns","furniture_rooms","corridor",,,,,,"коридор","коридор",,,
"nouns","furniture_rooms","couch","kauč","couch","couch",,"sofa","диван","диван","sofa","soffa",
"nouns","furniture_rooms","cradle","kolijevka",,,,,,,,,
"nouns","furniture_rooms","crib","krevetić","crib","crib","לול",,,,"cuna",,"beşik"
"nouns","furniture_rooms","cupboard",,,,,,,,,,"dolap"
"nouns","furniture_rooms","curtain",,,,"וילון",,,,,,
"nouns","furniture_rooms","door","vrata","door","door","דלת","dør","дверь","дверь","puerta","dörr","kapı"
"nouns","furniture_rooms","drawer","ladica","drawer","drawer","מגירה","skuff",,,"cajon","låda","çekmece"
"nouns","furniture_rooms","dryer",,,"dryer",,,,,,,
"nouns","furniture_rooms","elevator",,,,,,"лифт","лифт",,,
"nouns","furniture_rooms","faucet",,,,,,"кран","кран",,,
"nouns","furniture_rooms","fireplace",,,,,,,,,"öppen spis",
"nouns","furniture_rooms","floor",,,,,,"пол","пол",,,
"nouns","furniture_rooms","furniture",,,,,,,"мебель",,,
"nouns","furniture_rooms","garage","garaža","garage","garage","חניה","garasje",,,"cochera","garage",
"nouns","furniture_rooms","high chair",,"high chair","high chair",,"barnestol",,,,"barnstol",
"nouns","furniture_rooms","kitchen","kuhinja","kitchen","kitchen","מטבח","kjøkken","кухня","кухня","cocina","kök","mutfak"
"nouns","furniture_rooms","ladder",,,,,,"лестница","лестница",,,
"nouns","furniture_rooms","living room","dnevna soba","living room","living room","סלון","stue",,,"sala","vardagsrum",
"nouns","furniture_rooms","mirror",,,,,,"зеркало","зеркало",,,
"nouns","furniture_rooms","oven","pećnica","oven","oven","תנור","ovn",,"печка","horno","ugn","fırın"
"nouns","furniture_rooms","pillow",,,,,,,,,,"yastık"
"nouns","furniture_rooms","play pen","ogradica (vrtić za igranje)","play pen","play pen",,"lekegrind",,"манеж",,"lekrum",
"nouns","furniture_rooms","porch",,,"porch",,,,,,,"balkon"
"nouns","furniture_rooms","potty","tuta","potty","potty","סיר","potte",,,"bacinic","potta","lazımlık/oturak, tuvalet"
"nouns","furniture_rooms","refrigerator","hladnjak","refrigerator","refrigerator","מקרר","kjøleskap",,,"refrig","kylskåp","buzdolabı"
"nouns","furniture_rooms","rocking chair",,"rocking chair","rocking chair",,"gyngestol",,,,"gungstol",
"nouns","furniture_rooms","room",,,"room",,,"комната","комната","cuarto",,"oda"
"nouns","furniture_rooms","shower",,,"shower",,,"душ","душ","regader",,
"nouns","furniture_rooms","shutter",,,,"תריס",,,,,,
"nouns","furniture_rooms","sink","umivaonik","sink","sink","כיור","vask",,,"lavabo","diskbänk",
"nouns","furniture_rooms","sofa",,,"sofa",,,,,,,
"nouns","furniture_rooms","stairs","stepenice","stairs","stairs","מדרגות","trapp","ступеньки","ступеньки","escaler","trappa","merdiven"
"nouns","furniture_rooms","stove","štednjak","stove","stove",,"komfyr",,,"estufa",,
"nouns","furniture_rooms","table","stol","table","table","שולחן","bord","стол","стол","mesa","bord","masa"
"nouns","furniture_rooms","tablecloth",,,,"מפה",,,,,,
"nouns","furniture_rooms","tv","televizor","tv","tv","טלויזיה","tv",,,"televis","tv","televizyon"
"nouns","furniture_rooms","wardrobe","ormar",,,,,,,,,
"nouns","furniture_rooms","washing machine",,,"washing machine",,,,,,,
"nouns","furniture_rooms","window","prozor","window","window","חלון","vindu","окно","окно","ventana","fönster","pencere"
