"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"household","bag","","","תיק","","","","","",""
"household","battery","","","","","","","","","pil"
"household","bell","zvono","","","","","","","",""
"household","blanket","deka","blanket","שמיכה","coperta","dyne, teppe","одеяло","cobija","filt","battaniye"
"household","book","","","","libro","","","","",""
"household","bottle","boca","bottle","בקבוק","biberon, bottiglia","flaske","бутылочка","botlmam","flaska","şişe"
"household","bowl","zdjelica","bowl","קערה","","skål","","","skål",""
"household","box","kutija","box","קופסה","scatola","eske","коробка","caja","","kutu"
"household","broom","metla","broom","מטאטא","scopa","kost","веник","escoba","borste",""
"household","brush","četka","brush","מברשת","","børste","","cepidnt","",""
"household","camera","","","","","","фотоаппарат","","",""
"household","candle","","","","","","","vela","ljus",""
"household","cap","","","","tappo","","","","",""
"household","cigarette","","","","","","","cigarrs","",""
"household","clock","","clock","שעון","orologio","klokke","","","klocka","saat"
"household","cloth","","","","","","","trapo","",""
"household","comb (object)","češalj","comb","מסרק","pettine","kam","расческа","peine","kam","tarak"
"household","cover","","","","coperchio","","","","",""
"household","cup","šalica","cup","כוס","tazza","kopp","кружка, чашка","taza","kopp",""
"household","dish","","dish","","piatto","","","","fat",""
"household","drawer","","","","","","","","låda",""
"household","dustpan","","","","","","совок (для мусора)","","",""
"household","flower","","","","","","","","blomma",""
"household","flowerpot","","","עציץ","","","","","",""
"household","fork","vilica","fork","מזלג","forchetta","gaffel","вилка","tenedor","gaffel","çatal"
"household","glass","čaša","glass","","bicchiere","glass","","vaso","glas",""
"household","glasses","naočale","glasses","משקפיים","","briller","","","glasögon","bardak"
"household","hammer","čekić","hammer","פטיש","martello","hammer","молоток","martill","hammare",""
"household","jar","","","","","","банка","","",""
"household","keys","ključevi","keys","מפתחות","chiave","nøkler","ключи","llaves","nycklar","anahtar"
"household","knife","nož","","","coltello","kniv","нож","cuchill","kniv",""
"household","lamp","svjetiljka","lamp","מנורה","","lampe","лампа","","lampa","lamba/işık"
"household","light","svjetlo","light","אור","luce","lys","свет","luz","",""
"household","medicine","lijek","medicine","תרופה","","medisin","лекарство/таблетка","medicin","medicin","ilaç"
"household","mirror","","","","specchio","","","espejo","","ayna"
"household","money","novci","money","כסף","soldi","penger","деньги","dinero","pengar",""
"household","music","","","","musica","","","","",""
"household","nail","","","","","","гвоздь","","",""
"household","pacifier","bočica (s dudom)","","מוצץ","ciuccio","","соска","chupete","","biberon, emzik"
"household","paper","papir","paper","נייר","giornale","papir","бумага","papel","papper","kağıt"
"household","pen","","","","matita/penna","","","","",""
"household","penny","","penny","","","","монетка","","mynt",""
"household","phone","","","","fon","","","","",""
"household","photos","","","","","","","fotos","",""
"household","picture","slika","picture","תמונה","","bilde","картинка","cuadro","bild","resim"
"household","pillow","jastuk","pillow","כרית","cuscino","pute","подушка","almohad","kudde",""
"household","pipe","","","","","","","","","pipet/kamış"
"household","plant","biljka","plant","צמח","pianta","plante","","","",""
"household","plate","tanjur","plate","צלחת","","tallerken","тарелка","plato","","tabak"
"household","pot","","","סיר","pentola","","кастрюля","","",""
"household","potty","","","","vasino","","горшок","","",""
"household","purse","novčanik","purse","ארנק","","lommebok","","bolsa","börs","çanta"
"household","radio","radio","radio","רדיו","","radio","радио","radio","radio","radyo"
"household","rag","","","","","","тряпка","","",""
"household","refrigerator","","","","","","холодильник","","",""
"household","remote control","","","","","","","","","kumanda"
"household","rope","","","","","","","","","ip"
"household","scissors","škare","scissors","מספריים","forbici","saks","ножницы","tijeras","sax",""
"household","shovel","","","","","","","","","kürek"
"household","sink","","","","","","таз","","",""
"household","soap","sapun","soap","סבון","sapone","såpe","мыло","jabon","tvål","sabun"
"household","spoon","žlica","spoon","כף, כפית","cucchiaio","skje","ложка","cuchara","sked","kaşık"
"household","teapot","","","","","","чайник","","",""
"household","telephone","telefon","telephone","טלפון","telefono","telefon","телефон","telefon","telefon","telefon"
"household","tissue","","","","fazzoletto","","платок (носовой)","","",""
"household","toothbrush","četkica (za zube)","toothbrush","מברשת שיניים","spazzolino da denti","tannbørste","","cepillo","tandborste",""
"household","towel","ručnik","towel","מגבת","","håndkle","полотенце","toalla","handduk",""
"household","trash","smeće","trash","אשפה","","søppel","мусор","basura","skräp",""
"household","tv","","","","","","телевизор","","",""
"household","umbrella","","","","ombrello","","","","",""
"household","vacuum","usisivač","vacuum","שואב אבק","","støvsuger","","aspirdo","dammsugare","süpürge"
"household","voice recorder","","","","","","магнитофон","","",""
"household","watch (object)","sat","watch (object)","","","","часы","reloj","",""
