"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"games_routines","all gone","","","אין","","","","","","yok"
"games_routines","angry","","","כועס","","","","","",""
"games_routines","baby food","","","","","","","","","mama"
"games_routines","badness","","","","bua","","","","",""
"games_routines","bath","kupanje","bath","לעשות אמבטיה","fare il bagno","bade","","","bada","banyo"
"games_routines","bless you","","","","","","","salud","",""
"games_routines","boogeyman","","","","","","","","","öcü"
"games_routines","boom","","","","bum (cade)","","","","",""
"games_routines","bravo","","","","","","","","","aferin"
"games_routines","breakfast","doručak","breakfast","","","frokost","","","frukost",""
"games_routines","bye","pa-pa","bye","ביי","","ha det","пока","adiosby","hej då","bay-bay, güle-güle, hoşçakal"
"games_routines","can (auxiliary)","","","אפשר","","","можно","","",""
"games_routines","clap","","","מחא כפיים","","","","","","alkış"
"games_routines","come on","","","","","","","","","hadi"
"games_routines","cut it out","","","","basta","","","","",""
"games_routines","dinner","večera","dinner","","","middag","","","middag",""
"games_routines","don't","nemoj","don't","די","","ikke","брысь/кыш, нельзя","","","hayır"
"games_routines","go eat","","","ללכת לאכול","","","","","",""
"games_routines","go for a walk","","","ללכת לטייל","","","","","",""
"games_routines","go potty","","","","fare la popò/pipì","","","","","çiş, kaka"
"games_routines","go to bed","","","ללכת לישון","","","","","",""
"games_routines","go-ahead","","","","via","","","","",""
"games_routines","goal","","","","","","","","","gol"
"games_routines","good boy/girl","","","","bravo","","","","",""
"games_routines","good morning","","","בוקר טוב","","","","buendia","","günaydın"
"games_routines","good night","laku noć","night night","לילה טוב","buonanotte/buongiorno","god natt","","buennoc","god natt","iyi geceler"
"games_routines","hands up","","","","","","","manos2","",""
"games_routines","have","","","יש לי","","","","","",""
"games_routines","have hands","","","","","","","tengman","",""
"games_routines","hello","dobar dan","hello","","","","","","","alo"
"games_routines","here (take)","","","","","","на (возьми)","","",""
"games_routines","hi","bog/bok!","hi","היי","ciao","hei","привет","hola","hej",""
"games_routines","hide and seek","","","","","","тю-тю","","","saklambaç"
"games_routines","kiss","","","","","","","besitos","",""
"games_routines","like this","","","","","","вот так!","","",""
"games_routines","look at me","","","","","","","ojitos","",""
"games_routines","lullaby","","","","","","","","","ninni"
"games_routines","lunch","ručak","lunch","","","lunsj","","","lunch",""
"games_routines","music","","","","","","","","","müzik"
"games_routines","nap","spavanje","nap","","nanna","sovetid","","hacerme","sova middag",""
"games_routines","need","","","","","","надо/нужно","","",""
"games_routines","no","ne","no","לא","no","nei","не буду, не хочу, нет","no","nej",""
"games_routines","no more","","","","non c'èpiù/più","","","","",""
"games_routines","not/none","","","","","","","","inte",""
"games_routines","ok","","","","","","","","","tamam"
"games_routines","one two three","","","","un due tre","","","unodstr","",""
"games_routines","owie","","","כואב לי","","","","","",""
"games_routines","pattycake","ringe-raja","pattycake","","","klappe kake","","tortlit","baka kaka",""
"games_routines","peekaboo","ku-ku","peekaboo","לשחק בקוקו","cuccù-settete","borte! (lek hvor ansikt gjemmes og plutselig vises)","ку-ку","","tittut",""
"games_routines","please","molim","please","בבקשה","","vær så snill","","porfavo","varsågod",""
"games_routines","present","","","","","","","","","var"
"games_routines","pretend","","","לעשות כאילו","","","","","",""
"games_routines","row row your boat","","","","","","","acerrin","",""
"games_routines","shame","","","","","","","","","ayıp"
"games_routines","shh","psst-tiho","shh/shush/hush","","zitto/sch","hysj","","shhh","sch /hysch",""
"games_routines","should","","","צריך","","","","","",""
"games_routines","sing","","","","","","","","","şarkı"
"games_routines","sleep","","","","","","","","","uyku"
"games_routines","some more","","","עוד","","","","","",""
"games_routines","somersault","","","","","","","","","takla"
"games_routines","surprise","","","","","","","","","sürpriz"
"games_routines","take in (arms)","","","","","","","","","kucak"
"games_routines","ten fingers","","","עשר אצבעות","","","","","",""
"games_routines","thank you","hvala","thank you","","grazie/prego","takk","спасибо","gracias","tack","teşekkür/sağol"
"games_routines","tickle","","","","","","","cosqlit","",""
"games_routines","to slap","","","","dare le tottò","","","","",""
"games_routines","uh oh","","","","","","ай-я-яй","","",""
"games_routines","wait","čekaj!","wait","","","vent","","","vänta",""
"games_routines","wanna","hoću","wanna/want to","אני רוצה","","vil","","","vill /vill ha",""
"games_routines","watch out","","","","","","","","","dikkat"
"games_routines","who's there","","","","","","кто там?","","",""
"games_routines","yes","da","yes","כן","sì","ja","да","si","ja","evet"
