"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"predicates","descriptive_words","all gone","gotovo","all gone","all gone",,"borte",,,,"borta",
"predicates","descriptive_words","angry",,,,,,,,"enojado",,
"predicates","descriptive_words","asleep","spava","asleep","asleep",,,,,"sueno","sover",
"predicates","descriptive_words","awake",,,"awake",,,,,,,
"predicates","descriptive_words","bad","zločest(o)","bad","bad","רע","frekk",,,"malo","dålig",
"predicates","descriptive_words","beautiful",,,,,"skjønn",,,,,
"predicates","descriptive_words","better",,,"better",,,,,,,
"predicates","descriptive_words","big","velik(o)","big","big","גדול","stor",,,"grande","stor","büyük, kocaman"
"predicates","descriptive_words","bitter",,,,,,,,,,"acı (lezzet)"
"predicates","descriptive_words","black",,,"black",,,,,,,
"predicates","descriptive_words","blue","plava","blue","blue",,"blå",,,"azul","blå",
"predicates","descriptive_words","broken",,"broken","broken","מקולקל, שבור","ødelagt",,,"roto","trasig",
"predicates","descriptive_words","brown",,,"brown",,,,,,,
"predicates","descriptive_words","careful",,"careful","careful","זהיר","forsiktig",,,"cuidado","försiktig",
"predicates","descriptive_words","clean (description)","čist(o)","clean (description)","clean (description)","נקי","ren",,,"limpio","ren","temiz"
"predicates","descriptive_words","closed (description)",,,,,,,,,,"kapalı"
"predicates","descriptive_words","cold","hladno, zima","cold","cold","קר","kald",,,"frio","kall","soğuk"
"predicates","descriptive_words","cute",,"cute","cute","חמוד","søt",,,"guapo",,"cici"
"predicates","descriptive_words","dark","mrak","dark","dark",,"mørkt",,,"oscuro","mörk","karanlık"
"predicates","descriptive_words","different",,,,,,,,"difernt",,
"predicates","descriptive_words","dirty","prljav(o)","dirty","dirty","מלוכלך","skitten",,,"sucio","smutsig","kirli, pis"
"predicates","descriptive_words","dry (description)","suh(o)","dry (description)","dry (description)","יבש","tørr",,,,"torr",
"predicates","descriptive_words","easy",,,,,"grei",,,,,
"predicates","descriptive_words","empty","prazno","empty","empty","ריק","tom",,,"vacio","tom","boş"
"predicates","descriptive_words","fast","brz(o)","fast","fast","מהר","fort",,,,"fort",
"predicates","descriptive_words","fat",,,,"שמן",,,,,,
"predicates","descriptive_words","fine","divno, fin(o)","fine","fine",,"fin",,,,"fin",
"predicates","descriptive_words","first",,,"first",,,,,,,
"predicates","descriptive_words","full",,,"full",,,,,"lleno",,
"predicates","descriptive_words","funny",,,,,,,,,,"komik"
