"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"descriptive_words","all gone","gotovo","all gone","","","borte","","","borta",""
"descriptive_words","angry","","","","arrabbiato","","","enojado","",""
"descriptive_words","asleep","spava","asleep","","","","","sueno","sover",""
"descriptive_words","bad","zločest(o)","bad","רע","cattivo","frekk","","malo","dålig",""
"descriptive_words","beautiful","","","","","skjønn","","","",""
"descriptive_words","big","velik(o)","big","גדול","grande/grosso","stor","","grande","stor","büyük, kocaman"
"descriptive_words","bitter","","","","","","","","","acı (lezzet)"
"descriptive_words","black","","","","nero","","","","",""
"descriptive_words","blue","plava","blue","","","blå","","azul","blå",""
"descriptive_words","broken","","broken","מקולקל, שבור","rotto","ødelagt","","roto","trasig",""
"descriptive_words","careful","","careful","זהיר","attento","forsiktig","","cuidado","försiktig",""
"descriptive_words","clean","","","","pulito","","","","",""
"descriptive_words","clean (description)","čist(o)","clean (description)","נקי","","ren","","limpio","ren","temiz"
"descriptive_words","closed (description)","","","","","","","","","kapalı"
"descriptive_words","cold","hladno, zima","cold","קר","freddo","kald","","frio","kall","soğuk"
"descriptive_words","cute","","cute","חמוד","carino","søt","","guapo","","cici"
"descriptive_words","dark","mrak","dark","","buio","mørkt","","oscuro","mörk","karanlık"
"descriptive_words","different","","","","","","","difernt","",""
"descriptive_words","dirty","prljav(o)","dirty","מלוכלך","sporco","skitten","","sucio","smutsig","kirli, pis"
"descriptive_words","dry","","","","asciutto","","","","",""
"descriptive_words","dry (description)","suh(o)","dry (description)","יבש","","tørr","","","torr",""
"descriptive_words","easy","","","","","grei","","","",""
"descriptive_words","empty","prazno","empty","ריק","vuoto","tom","","vacio","tom","boş"
"descriptive_words","fast","brz(o)","fast","מהר","","fort","","","fort",""
"descriptive_words","fat","","","שמן","","","","","",""
"descriptive_words","fine","divno, fin(o)","fine","","","fin","","","fin",""
"descriptive_words","finished","","","","finito","","","","",""
"descriptive_words","full","","","","pieno","","","lleno","",""
"descriptive_words","funny","","","","","","","","","komik"
"descriptive_words","gentle","nježno","gentle","","","","","","",""
"descriptive_words","good","dobro","good","טוב","buono","bra","","","god","iyi"
"descriptive_words","green","","","","","","","verde","",""
"descriptive_words","happy","sretan","happy","שמח","contento, felice","glad","","content","glad",""
"descriptive_words","hard","teško","hard","קשה","duro","hard","","dificil","hård, svår",""
"descriptive_words","heavy","","","","pesante","","","pesado","",""
"descriptive_words","high","","","","alto","","","","",""
"descriptive_words","hot","vruće","hot","חם","caldo","varm","","calient","varmt","sıcak"
"descriptive_words","hungry","gladan","hungry","רעב","","sulten","","hambre","hungrig",""
"descriptive_words","hurt","boli","hurt","","","vondt","","","skada",""
"descriptive_words","little","","","","piccolo","","","","",""
"descriptive_words","little (description)","mal(o)","little (description)","נמוך, קטן, קצר","","liten","","chico, poco","lite","küçük"
"descriptive_words","loud","","","","forte","","","","",""
"descriptive_words","many","","","","","","","","","çok"
"descriptive_words","naughty","","naughty","שובב","disubbidiente","slem","","","stygg","yaramaz"
"descriptive_words","new","","","","nuovo","","","nuevo","","yeni"
"descriptive_words","nice","krasno","nice","נחמד","bello","","","","trevlig",""
"descriptive_words","old","star(o)","old","זקן, ישן","","gammel","","viejo","gammal",""
"descriptive_words","open (description)","","","","","","","","","açık"
"descriptive_words","pretty","lijep(o)","pretty","יפה","","pen","","bonita","","güzel"
"descriptive_words","quick","","","","","","","","snabb",""
"descriptive_words","red","crvena","red","","rosso","rød","","rojo","röd","kırmızı"
"descriptive_words","sad","","","","triste","","","triste","",""
"descriptive_words","salty","","","מלוח","","","","","",""
"descriptive_words","same","","","","","","","igual","",""
"descriptive_words","scared","strašno","scared","","","redd","","miedo","",""
"descriptive_words","sick","bolestan","sick","חולה","malato","syk","","enfermo","sjuk","hasta"
"descriptive_words","sleepy","pospan(o)","sleepy","","","sliten","","","",""
"descriptive_words","slow","polako","","","piano","","","","",""
"descriptive_words","smart","","","חכם","","","","","",""
"descriptive_words","soft","mekan(o)","soft","רך","morbido","myk","","suave","mjuk",""
"descriptive_words","sweet","","","מתוק","dolce","","","","söt","tatlı"
"descriptive_words","tasty","","","טעים","","","","","",""
"descriptive_words","thin","","","רזה","","","","","",""
"descriptive_words","thirsty","žedan","thirsty","צמא","","tørst","","sed","törstig",""
"descriptive_words","tired","umoran","tired","עייף","stanco","trøtt","","cansado","trött, trot2",""
"descriptive_words","ugly","ružno","","","brutto","","","feo","","çirkin"
"descriptive_words","warm","toplo","","","","","","","",""
"descriptive_words","wet","mok(ro)","wet","רטוב","bagnato","våt","","","våt","islak"
"descriptive_words","yellow","","","","giallo","","","amarill","",""
"descriptive_words","yucky","","yucky","מגעיל","","ekkelt","","fuchi","äcklig",""
