"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"predicates","action_words","bathe",,,,,,,,,,"yıkan"
"predicates","action_words","begin",,,,,,,,,,"başla, ol"
"predicates","action_words","bite","gristi","bite","bite","לנשוך","bite","кусать/кусаться",,"morder","bita","isır"
"predicates","action_words","bless",,,,"לברך",,,,,,
"predicates","action_words","blow","puhati","blow","blow","לנשוף","blåse","дуть","дуть","soplar","blåsa",
"predicates","action_words","break","razbiti","break","break","לשבור","ødelegge",,"ломать","romper","bryta","kır"
"predicates","action_words","bring","donijeti","bring","bring","להביא",,"принести",,,,"getir"
"predicates","action_words","build",,,"build",,,,"строить",,,
"predicates","action_words","bump",,"bump","bump",,,,,,,
"predicates","action_words","buy","kupiti",,"buy",,,,"покупать",,,
"predicates","action_words","call",,,,,,,"звать",,,
"predicates","action_words","call (on phone)",,,,,,,"звонить",,,
"predicates","action_words","can",,,,,,,,"poder",,
"predicates","action_words","carry",,,"carry",,,,"нести, тащить",,,"taşı"
"predicates","action_words","catch",,,"catch",,,,"поймать",,,"yakala"
"predicates","action_words","chase",,,"chase",,,,,,,
"predicates","action_words","clap",,,"clap",,,"хлопать","хлопать",,,
"predicates","action_words","clean (action)","čistiti","clean (action)","clean (action)","לנקות","rydde",,"чистить",,"städa",
"predicates","action_words","climb",,,"climb",,,"залезть","залезть, лезть","subir",,"çık"
"predicates","action_words","close","zatvoriti","close","close","לסגור","lukke","закрыть","закрыть","cerrar","stänga","kapat"
"predicates","action_words","collect",,,,,,"собирать","собирать",,,
"predicates","action_words","comb (action)",,,,"לסרק",,,,"peinars",,"tara"
"predicates","action_words","come",,,,,,,,,,"gel"
"predicates","action_words","cook",,,"cook",,,,"варить",,,
"predicates","action_words","cough",,,,,,,,,,"öksür"
"predicates","action_words","count",,,,,,,,,,"say"
"predicates","action_words","cover",,,"cover",,,,,,,"ört"
"predicates","action_words","crawl",,,,,,,"ползать",,,
"predicates","action_words","cry","plakati","cry","cry","לבכות","gråte","плакать","плакать","llorar","gråta","ağla"
"predicates","action_words","cut",,,"cut",,,,"резать, стричь",,,
"predicates","action_words","dance","plesati","dance","dance","לרקוד","danse","танцевать","танцевать","bailar","dansa",
"predicates","action_words","descend",,,,"לרדת",,,,,,
"predicates","action_words","die",,,,,,,,,,"öl"
"predicates","action_words","dig",,,,,,"копать","копать",,,
"predicates","action_words","do",,,,,,,,,,"yap"
"predicates","action_words","draw","crtati","draw","draw","לצייר","tegne",,"рисовать","dibujar","rita","çiz"
"predicates","action_words","dress",,,,,,,,,,"gıdıkla"
"predicates","action_words","dress (action)",,,,,,"одеть","одевать",,,
"predicates","action_words","drink (action)","piti","drink (action)","drink (action)","לשתות","drikke","пить","пить",,,"iç"
"predicates","action_words","drink (beverage)",,,,,,,,,"dricka",
"predicates","action_words","drip",,,,,,,"капать",,,
"predicates","action_words","drive","voziti","drive","drive","לנהוג, לרכב","kjøre","ездить/ехать",,,"köra",
"predicates","action_words","drop",,,"drop",,,,,,,"bırak"
"predicates","action_words","dry (action)",,,"dry (action)",,"tørke",,,"secarse",,
"predicates","action_words","dump",,,"dump",,,,,,,
"predicates","action_words","eat","jesti","eat","eat","לאכול","spise","есть, кушать","есть, кушать","comer","äta","ye"
"predicates","action_words","eat breakfast",,,,,,,,"desyuna",,
"predicates","action_words","eat dinner",,,,,,,,"cenar",,
"predicates","action_words","enter",,,,,,,,,,"git"
"predicates","action_words","fall","pasti","fall","fall","ליפול","falle","падать","падать","caer","falla","düş"
"predicates","action_words","feed",,"feed","feed","להאכיל","mate","кормить","кормить",,"mata","yedir"
"predicates","action_words","fight","tući",,,,,,,,,
"predicates","action_words","find",,,"find",,,,,,,"bul"
"predicates","action_words","finish",,"finish","finish","לגמור","gjøre seg ferdig",,,"acabars",,"bit"
