"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"descriptive_words (adverbs)","again","","","","","","","","опять","","",""
"descriptive_words (adverbs)","badly","","","","","","","плохо","плохо","","",""
"descriptive_words (adverbs)","beautifully","","","","","","","красиво","красиво","","",""
"descriptive_words (adverbs)","bitterly","","","","","","","","горько","","",""
"descriptive_words (adverbs)","carefully","","","","","","","осторожно","осторожно","","",""
"descriptive_words (adverbs)","cheerfully","","","","","","","","весело","","",""
"descriptive_words (adverbs)","cleanly","","","","","","","чисто","чисто","","",""
"descriptive_words (adverbs)","coldly","","","","","","","холодно","холодно","","",""
"descriptive_words (adverbs)","darkly","","","","","","","темно","темно","","",""
"descriptive_words (adverbs)","dirtily","","","","","","","грязно","грязно","","",""
"descriptive_words (adverbs)","dryly","","","","","","","","сухо","","",""
"descriptive_words (adverbs)","heavily","","","","","","","тяжело","тяжело","","",""
"descriptive_words (adverbs)","hotly","","","","","","","горячо","горячо","","",""
"descriptive_words (adverbs)","in no way","","","","","","","","никак","","",""
"descriptive_words (adverbs)","loudly","","","","","","","громко","громко","","",""
"descriptive_words (adverbs)","painfully","","","","","","","больно","больно","","",""
"descriptive_words (adverbs)","quickly","","","","","","","быстро","быстро","","",""
"descriptive_words (adverbs)","quietly","","","","","","","тихо/тише","тихо/тише","","",""
"descriptive_words (adverbs)","softly","","","","","","","","мягко","","",""
"descriptive_words (adverbs)","sourly","","","","","","","","кисло","","",""
"descriptive_words (adverbs)","strongly","","","","","","","","сильно","","",""
"descriptive_words (adverbs)","sweetly","","","","","","","сладко","сладко","","",""
"descriptive_words (adverbs)","tastily","","","","","","","вкусно","вкусно","","",""
"descriptive_words (adverbs)","together","","","","","","","","вместе","","",""
"descriptive_words (adverbs)","totally","","","","","","","","совсем","","",""
"descriptive_words (adverbs)","warmly","","","","","","","тепло","тепло","","",""
"descriptive_words (adverbs)","well","","","","","","","хорошо","хорошо","","",""
"descriptive_words (adverbs)","wetly","","","","","","","мокро","мокро","","",""
