"lexical_class","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"nouns","airplane","avion","airplane","מטוס","aereo","fly","самолет","avion","flygplan","uçak"
"nouns","ambulance","","","אמבולנס","","","","","",""
"nouns","animal","životinja","animal","חיה ","animale","dyr","","animal","djur",""
"nouns","ant","","","","formica","","","hormiga","",""
"nouns","apple","jabuka","apple","תפוח","mela","eple","яблоко","manzana","äpple","elma"
"nouns","arm","ruka","arm","","braccio","arm","рука","brazos","arm",""
"nouns","armchair","fotelja","","כורסה","","","кресло","","","koltuk"
"nouns","backyard","dvorište","","","","","","","",""
"nouns","bag","","","תיק","","","","","",""
"nouns","ball","lopta","ball","כדור","palla","ball","мяч","pelota","boll","top"
"nouns","balloon","balon","balloon","בלון","","ballong","","globo","ballong","balon"
"nouns","banana","banana","banana","בננה","banana","banan","банан","platano","banan","muz"
"nouns","barn","","","רפת","","","","","",""
"nouns","bathroom","kupaonica","bathroom","שירותים","bagno","bad","туалет","bano","badrum","banyo"
"nouns","bathtub","kada","bathtub","אמבטיה","vasca da bagno","badekar","ванна","tina","badkar",""
"nouns","battery","","","","","","","","","pil"
"nouns","beach","plaža","beach","חול","","","","playa","stranden",""
"nouns","beads","","beads","חרוזים","","","","aretes","pärlor","boncuk"
"nouns","beans","","","","","","","frijole","",""
"nouns","bear","medo","bear","","orso","bjørn","медведь","oso","björn","ayı"
"nouns","bed","krevet","bed","מיטה","letto","seng","кровать","cama","säng","yatak"
"nouns","bedroom","","bedroom","חדר שינה","","soverom","","recamar","sovrum",""
"nouns","bee","pčela","bee","דבורה","","veps","","abeja","bi","arı"
"nouns","bell","zvono","","","","","","","","zil"
"nouns","belly button","pupak","belly button","פופיק","ombelico","navle","пупок","ombligo","navel",""
"nouns","berry","","","","","","ягода","","",""
"nouns","bib","","bib","סינור","bavaglino","smekke","нагрудник","babera","","önlük"
"nouns","bicycle","bicikl","bicycle","אופניים","bicicletta","sykkel","велосипед","bicicle","cykel","bisiklet"
"nouns","bidet","","","","bidè","","","","",""
"nouns","bird","ptica","bird","ציפור","uccellino","fugl","птичка","pajaro","fågel","kuş"
"nouns","biscuit","","","","","","","","skorpa",""
"nouns","blanket","deka","blanket","שמיכה","coperta","dyne, teppe","одеяло","cobija","filt","battaniye"
"nouns","block","kocka","block","קוביה","cubi","klosser","кубики","","kloss",""
"nouns","boat","","","","barca","","","","",""
"nouns","book","knjiga","book","ספר","favola/storia, libro","bok","книга","libro","bok","kitap"
"nouns","boots","čizme","boots","מגפיים","","støvler","ботинки, сапоги","botas","kängor, stövel",""
"nouns","bottle","boca","bottle","בקבוק","biberon, bottiglia","flaske","бутылочка","botlmam","flaska","şişe"
"nouns","bowl","zdjelica","bowl","קערה","","skål","","","skål",""
"nouns","box","kutija","box","קופסה","scatola","eske","коробка","caja","","kutu"
"nouns","bread","kruh","bread","לחם","pane","brød","хлеб","pan","bröd","ekmek"
"nouns","breast","","","ציצי","seno","","","chichi","","meme"
"nouns","bridge","","","","","","","","","köprü"
"nouns","broom","metla","broom","מטאטא","scopa","kost","веник","escoba","borste",""
"nouns","brush","četka","brush","מברשת","","børste","","cepidnt","",""
"nouns","bubbles","","bubbles","בועות","","såpebobler","","","såpbubblor",""
"nouns","bucket","","","","secchiello","","ведро","","","kova"
"nouns","bug","buba","bug","ג'וק","","","жук","","skalbagge","böcek"
"nouns","bun","","","לחמניה","","","булка","","",""
"nouns","bunny","zeko","bunny","שפן","coniglio","kanin","заяц","conejo","kanin","tavşan"
"nouns","bus","autobus","bus","אוטובוס","autobus","buss","автобус","","buss","otobüs"
"nouns","bus station","","","תחנת אוטובוס","","","","","",""
"nouns","butt","guza","","","sederino","","","","stjärt","popo"
"nouns","butter","","butter","מרגרינה","","smør","масло","","smör",""
"nouns","butterfly","leptir","butterfly","פרפר","farfalla","sommerfugl","бабочка","maripos","","kelebek"
"nouns","button","gumb","button","כפתור","bottone","knapp","пуговица","boton","knapp",""
"nouns","cabbage","","","","","","капуста","","",""
"nouns","cacao","kakao","","","","","","","",""
"nouns","cake","kolač","cake","עוגה","torta","kake","","pastel","","kek, pasta"
"nouns","calf","tele","","","","","","","",""
"nouns","camera","","","","","","фотоаппарат","","",""
"nouns","candle","","","","","","","vela","ljus",""
"nouns","candy","bombon","candy","ממתק","caramella","sukkertøy","конфета","dulce","godis","şeker"
"nouns","cap","","","","tappo","","","","",""
"nouns","car","auto","car","אוטו","automobile","bil","машина","carro","bil","araba"
"nouns","carpet","","","שטיח","tappeto","","ковер","","",""
"nouns","carrots","mrkva","carrots","גזר","carote","gulrot","морковка","","morot","havuç"
"nouns","cat","mačka","cat","חתול","gatto","katt","кошка","gato","katt","kedi"
"nouns","cereal","kašica","cereal","דייסה","","frokostblanding","каша","cereal","flingor",""
"nouns","chair","stolica","chair","כיסא","sedia","stol","стул","silla","stol","sandalye/iskemle"
"nouns","cheek","obrazi","cheek","לחי","","kinn","щека","cachete","kind","yanak"
"nouns","cheerios","čokolino","cheerios","במבה","","corn flakes","","","",""
"nouns","cheese","sir","cheese","גבינה","formaggio","ost","сыр","queso","ost","peynir"
"nouns","chick","","","אפרוח","pulcino","","","pollito","",""
"nouns","chicken (animal)","pile","chicken (animal)","","","kylling","курочка","","kyckling","tavuk"
"nouns","chicken (food)","piletina","chicken (food)","עוף","pollo","kylling","","pollo","kyckling",""
"nouns","chili","","","","","","","chile","",""
"nouns","chin","","","","","","","","haka",""
"nouns","chocolate","čokolada","","שוקו","cioccolata","","","","","çikolata"
"nouns","church","crkva","church*","בית כנסת","","","церковь","iglstmp","kyrkan",""
"nouns","cigarette","","","","","","","cigarrs","",""
"nouns","clementine","","","קלמנטינה","","","","","",""
"nouns","clock","","clock","שעון","orologio","klokke","","","klocka","saat"
"nouns","closet","","","","armadio","","","ropero","",""
"nouns","cloth","","","","","","","trapo","",""
"nouns","cloud","","","","","","","nube","",""
"nouns","clouds","","","","nuvole","","","","",""
"nouns","clown","","","ליצן","","","","","",""
"nouns","coat","kaput","coat","מעיל","cappotto","regntøy","куртка","","","palto"
"nouns","coffee","čaj","coffee","קפה","","kaffe","","cafe","kaffe","çay"
"nouns","comb (object)","češalj","comb","מסרק","pettine","kam","расческа","peine","kam","tarak"
"nouns","compote","","","","","","компот","","",""
"nouns","computer","","","","","","","","","bilgisayar"
"nouns","cookie","keks","cookie","","biscotti","bolle","печенье","galleta","kaka","kurabiye"
"nouns","corridor","","","","","","коридор","","",""
"nouns","cottage cheese","","","","","","творог","","",""
"nouns","couch","kauč","couch","","divano","sofa","диван","sofa","soffa",""
"nouns","country","","","","campagna","","","","",""
"nouns","cover","","","","coperchio","","","","",""
"nouns","cow","krava","cow","פרה","mucca","ku","корова","vaca","ko","inek"
"nouns","cracker","","cracker","קרקר","cracker","kjeks","","","kex","bisküvi"
"nouns","cradle","kolijevka","","","","","","","",""
"nouns","crayon","","","","","","","","","boya"
"nouns","crib","krevetić","crib","לול","culla","","","cuna","","beşik"
"nouns","crocodile","","","","coccodrillo","","","","",""
"nouns","crow","","","","","","ворона","","",""
"nouns","cucumber","","","מלפפון","","","огурец","","",""
"nouns","cup","šalica","cup","כוס","tazza","kopp","кружка, чашка","taza","kopp",""
"nouns","cupboard","","","","","","","","","dolap"
"nouns","curtain","","","וילון","","","","","",""
"nouns","deer","lane","deer","אייל","","reinsdyr","","venado","",""
"nouns","diaper","pelena","diaper","טיטול","pannolino","bleie","памперс","panal","blöja","bez (çocuk bezi)"
"nouns","dish","","dish","","piatto","","","","fat",""
"nouns","dog","pas","dog","כלב","cane","hund","собака","perro","hund","köpek"
"nouns","doll","lutka","doll","בובה","bambola","dukke","кукла","muneca","docka","bebek"
"nouns","donkey","magarac","donkey","חמור","asino","","","burro","åsna","eşek"
"nouns","door","vrata","door","דלת","porta","dør","дверь","puerta","dörr","kapı"
"nouns","drawer","ladica","drawer","מגירה","cassetto","skuff","","cajon","låda, låda","çekmece"
"nouns","dress","","dress (object)","שמלה","","kjole","","vestido","","elbise"
"nouns","dress (object)","haljina","","","vestito","","платье","","",""
"nouns","drink (beverage)","","drink (beverage)","","","drikke","","","",""
"nouns","drum","","","","","","","tambor","",""
"nouns","duck","patka","duck","ברווז","papera","and","утка","pato","anka","ördek"
"nouns","dust","","","","","","","","","toz"
"nouns","dustpan","","","","","","совок (для мусора)","","",""
"nouns","ear","uho","ear","אוזן","orecchio","øre","ушки","orejas","öra","kulak"
"nouns","earth","","","","terra","","","","",""
"nouns","egg","jaje","egg","חביתה","uovo","egg","яйцо","huevo","ägg","yumurta"
"nouns","elephant","slon","elephant","פיל ","elefante","elefant","слон","elefant","elefant",""
"nouns","elevator","","","","ascensore","","лифт","","",""
"nouns","elk","","","","","elg","","","",""
"nouns","eye","oko","eye","עיין","occhio","øye","глазки","ojos","öga","göz"
"nouns","face","lice","face","פנים","faccia","ansikt","лицо","cara","ansikte",""
"nouns","faucet","","","ברז","","","кран","","",""
"nouns","fawn","","","","cerbiatto","","","","",""
"nouns","feet","","","","piede","","","","",""
"nouns","field","livada","","","","","","campo","landet",""
"nouns","finger","palac","finger","אצבעות","dito","finger","палец","dedos","finger","parmak"
"nouns","fir","","","","","","елка","","",""
"nouns","fire","","","","","","","","","ateş"
"nouns","fireplace","","","","","","","","öppen spis",""
"nouns","firetruck","","firetruck","","","brannbil","","camibom","brandbil",""
"nouns","fish (animal)","riba","fish (animal)","דג","pesciolino","fisk","рыбка","pescado","fisk","balık"
"nouns","fish (food)","riba","fish (food)","דג","","fisk","рыба","","fisk","balık"
"nouns","floor","","","","","","пол","","",""
"nouns","flower","cvijeće","flower","פרח","fiore","blomst","цветы","flor","blomma","çiçek"
"nouns","flowerpot","","","עציץ","","","","","",""
"nouns","fly","","","זבוב","mosca","flue","муха","mosca","",""
"nouns","food","hrana","food","אוכל","","mat","","comida","mat","yemek"
"nouns","foot","","foot","","","fot","","pies","fot","ayak"
"nouns","forehead","čelo","","מצח","","","","","",""
"nouns","fork","vilica","fork","מזלג","forchetta","gaffel","вилка","tenedor","gaffel","çatal"
"nouns","fox","lisica","","","","rev","лиса","","",""
"nouns","frog","žaba","frog","צפרדע","rana","frosk","лягушка","rana","groda","kurbağa"
"nouns","frost","","","","","","мороз","","",""
"nouns","fruit","","","","","","","","","meyve"
"nouns","garage","garaža","garage","חניה","garage","garasje","","cochera","garage",""
"nouns","garden","vrt","garden","גן","giardino","","","jardin","trädgård","bahçe"
"nouns","giraffe","","giraffe","ג'ירפה","giraffa","sjiraff","жираф","jirafa","giraff",""
"nouns","glass","čaša","glass","","bicchiere","glass","","vaso","glas",""
"nouns","glasses","naočale","glasses","משקפיים","occhiali","briller","","lentes","glasögon","gözlük, bardak"
"nouns","gloves","","","","guanti","","","","",""
"nouns","goat","koza","","","capra","","коза","cabra","",""
"nouns","goose","guska","goose","","oca","gås","гусь","","gås",""
"nouns","grapes","","","","uva","","","uvas","",""
"nouns","grass","","","","","","трава","","",""
"nouns","ground","","","אדמה","","","","","","toprak"
"nouns","hair","kosa","hair","שערות","capelli","hår","волосы","pelo","hår","saç"
"nouns","ham","","","","","","","jamon","",""
"nouns","hammer","čekić","hammer","פטיש","martello","hammer","молоток","martill","hammare",""
"nouns","hand","","hand","ידיים","mano","hånd","","manos1","hand","el"
"nouns","hat","kapa","hat","כובע","cappello","lue","шапка","sombrer","mössa","şapka"
"nouns","head","glava","head","ראש","testa","hode","голова","cabeza","huvud","baş/kafa"
"nouns","hedgehog","","","קיפוד ","","","ёж","","",""
"nouns","hen","koka","","","gallina","","","gallina","",""
"nouns","high chair","","high chair","","seggiolone","barnestol","","","barnstol",""
"nouns","hippopotamus","","","","ippopotamo","","","hippotm","",""
"nouns","home","dom","home","","casa","","","","hemma",""
"nouns","honey","","","דבש","miele","","","","","bal"
"nouns","horse","konj","horse","סוס","cavallo","hest","лошадь/конь","caballo","häst","at"
"nouns","hot dog","","","נקניק","","","сосиска","salchch","",""
"nouns","house","kuća","house","בית, מעון","","","дом","casa","hus",""
"nouns","ice cream","sladoled","ice cream","ארטיק","gelato","is","","helado","glass","dondurma"
"nouns","jacket","jakna","jacket","","giacca","jakke","","","jacka","ceket"
"nouns","jam","","","ריבה","","","","","","reçel"
"nouns","jar","","","","","","банка","","",""
"nouns","jeans","","jeans","ג'ינס","","","","","jeans",""
"nouns","jeep","","","ג'יפ","","","","","",""
"nouns","juice","sok","juice","מיץ","","juice","сок","jugo","juice",""
"nouns","kangaroo","","","","","","кенгуру","","",""
"nouns","keys","ključevi","keys","מפתחות","chiave","nøkler","ключи","llaves","nycklar","anahtar"
"nouns","kid (goat)","jare","","","","","","","",""
"nouns","kindergarten","","","","asilo","","","","dagis",""
"nouns","kitchen","kuhinja","kitchen","מטבח","cucina","kjøkken","кухня","cocina","kök","mutfak"
"nouns","kitty","","kitty","","","kattunge","","","kisse",""
"nouns","knee","koljeno","knee","ברך","","kne","","rodilla","knä","diz"
"nouns","knife","nož","","","coltello","kniv","нож","cuchill","kniv",""
"nouns","ladder","","","","","","лестница","","",""
"nouns","ladybug","","","חיפושית","","","","","",""
"nouns","lamb","","lamb","טלה ","agnello","lam","","borrego","lamm","kuzu"
"nouns","lamp","svjetiljka","lamp","מנורה","","lampe","лампа","","lampa","lamba/işık"
"nouns","lawn","","","","prato","","","","",""
"nouns","leaf","","","","","","","","","yaprak"
"nouns","leg","noga","leg","רגליים","gambe","bein","нога","piernas","ben","bacak"
"nouns","lemon","","","","","","","","","limon"
"nouns","light","svjetlo","light","אור","luce","lys","свет","luz","",""
"nouns","lion","lav","lion","אריה","leone","løve","лев","leon","lejon",""
"nouns","living room","dnevna soba","living room","סלון","salotto","stue","","sala","vardagsrum",""
"nouns","locomotive","","","קטר","","","паровоз","","",""
"nouns","lollipop","","","","","","","paleta","",""
