"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"other","games_routines","all gone",,,,"אין",,,,,,"yok"
"other","games_routines","angry",,,,"כועס",,,,,,
"other","games_routines","bath","kupanje","bath","bath","לעשות אמבטיה","bade",,,,"bada",
"other","games_routines","bathroom",,,,,,,,,,"banyo"
"other","games_routines","bless you",,,,,,,,"salud",,
"other","games_routines","boogeyman",,,,,,,,,,"öcü"
"other","games_routines","bravo",,,,,,,,,,"aferin"
"other","games_routines","breakfast","doručak","breakfast","breakfast",,"frokost",,"завтрак",,"frukost",
"other","games_routines","bye","pa-pa","bye","bye","ביי","ha det","пока","пока, до свидания","adiosby","hej då","bay-bay, güle-güle, hoşçakal"
"other","games_routines","call (on phone)",,,"call (on phone)",,,,,,,
"other","games_routines","can",,,,,,,"можно",,,
"other","games_routines","can (auxiliary)",,,,"אפשר",,"можно",,,,
"other","games_routines","clap",,,,"מחא כפיים",,,,,,"alkış"
"other","games_routines","come on",,,,,,,,,,"hadi"
"other","games_routines","dinner","večera","dinner","dinner",,"middag",,"ужин",,"middag",
"other","games_routines","don't","nemoj","don't",,"די","ikke","брысь/кыш, нельзя","нельзя",,,"hayır"
"other","games_routines","eat",,,,"ללכת לאכול",,,,,,
"other","games_routines","food",,,,,,,,,,"mama"
"other","games_routines","give me five!",,,"give me five!",,,,,,,
"other","games_routines","go potty",,,"go potty",,,,,,,
"other","games_routines","goal",,,,,,,,,,"gol"
"other","games_routines","gonna get you!",,,"gonna get you!",,,,,,,
"other","games_routines","good morning",,,,"בוקר טוב",,,"доброе утро","buendia",,"günaydın"
"other","games_routines","good night","laku noć","night night","night night","לילה טוב","god natt",,"спокойной ночи","buennoc","god natt","iyi geceler"
"other","games_routines","hands up",,,,,,,,"manos2",,
"other","games_routines","have",,,,"יש לי",,,,,,
"other","games_routines","have hands",,,,,,,,"tengman",,
"other","games_routines","hello","dobar dan","hello","hello",,,,"здравствуй/те",,,"alo"
"other","games_routines","here (take)",,,,,,"на (возьми)",,,,
"other","games_routines","hi","bog/bok!","hi","hi","היי","hei","привет","привет","hola","hej",
"other","games_routines","hide and seek",,,,,,"тю-тю",,,,"saklambaç"
"other","games_routines","kiss",,,,,,,,"besitos",,
"other","games_routines","let",,,,,,,"пусть/пускай",,,
"other","games_routines","like this",,,,,,"вот так!",,,,
"other","games_routines","look at me",,,,,,,,"ojitos",,
"other","games_routines","lullaby",,,,,,,,,,"ninni"
"other","games_routines","lunch","ručak","lunch","lunch",,"lunsj",,"обед, полдник",,"lunch",
"other","games_routines","more",,,,"עוד",,,,,,
"other","games_routines","music",,,,,,,,,,"müzik"
"other","games_routines","nap","spavanje","nap","nap","ללכת לישון","sovetid",,,"hacerme","sova middag",
"other","games_routines","need",,,,,,"надо/нужно",,,,
"other","games_routines","no","ne","no","no","לא","nei","не буду, не хочу, нет","не буду, не хочу, нет","no","nej",
"other","games_routines","not",,,,,,,,,"inte",
"other","games_routines","ok",,,,,,,,,,"tamam"
"other","games_routines","one two three",,,,,,,,"unodstr",,
"other","games_routines","owie",,,,"כואב לי",,,,,,
"other","games_routines","pattycake","ringe-raja","pattycake","pattycake",,"klappe kake",,,"tortlit","baka kaka",
"other","games_routines","peekaboo","ku-ku","peekaboo","peekaboo","לשחק בקוקו","borte! (lek hvor ansikt gjemmes og plutselig vises)","ку-ку",,,"tittut",
"other","games_routines","please","molim","please","please","בבקשה","vær så snill",,"пожалуйста","porfavo","varsågod",
"other","games_routines","potty",,,,,,,,,,"çiş, kaka"
"other","games_routines","present",,,,,,,,,,"var"
"other","games_routines","pretend",,,,"לעשות כאילו",,,,,,
"other","games_routines","row row your boat",,,,,,,,"acerrin",,
"other","games_routines","shame",,,,,,,,,,"ayıp"
"other","games_routines","shh","psst-tiho","shh/shush/hush",,,"hysj",,,"shhh","sch /hysch",
"other","games_routines","shh/shush/hush",,,"shh/shush/hush",,,,,,,
"other","games_routines","shopping",,,"shopping",,,,,,,
"other","games_routines","should",,,,"צריך",,,,,,
"other","games_routines","sing",,,,,,,,,,"şarkı"
"other","games_routines","sleep",,,,,,,,,,"uyku"
"other","games_routines","snack",,,"snack",,,,,,,
"other","games_routines","so big!",,,"so big!",,,,,,,
"other","games_routines","somersault",,,,,,,,,,"takla"
"other","games_routines","surprise",,,,,,,,,,"sürpriz"
"other","games_routines","take in (arms)",,,,,,,,,,"kucak"
"other","games_routines","ten fingers",,,,"עשר אצבעות",,,,,,
"other","games_routines","thank you","hvala","thank you","thank you",,"takk","спасибо","cпасибо","gracias","tack","teşekkür/sağol"
"other","games_routines","this little piggy",,,"this little piggy",,,,,,,
"other","games_routines","tickle",,,,,,,,"cosqlit",,
"other","games_routines","turn around",,,"turn around",,,,,,,
"other","games_routines","uh oh",,,,,,"ай-я-яй",,,,
"other","games_routines","wait","čekaj!","wait",,,"vent",,,,"vänta",
"other","games_routines","walk",,,,"ללכת לטייל",,,,,,
"other","games_routines","wanna","hoću","wanna/want to",,"אני רוצה","vil",,,,"vill /vill ha",
"other","games_routines","watch out",,,,,,,,,,"dikkat"
"other","games_routines","who's there",,,,,,"кто там?","кто там?",,,
"other","games_routines","yes","da","yes","yes","כן","ja","да","да","si","ja","evet"
