"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"people","aunt","teta","aunt","aunt","","zia","tante","тетя","тетя","tia","faster, moster","hala, teyze"
"people","baby","beba","baby","baby","תינוק","","baby","малыш","малыш","bebe","baby","bebek"
"people","babysitter","","babysitter","babysitter","","babysitter/tata","","няня","няня","nana","barnvakt",""
"people","babysitter's name","ime osobe koja čuva dijete","babysitter's name","babysitter's name","","","","","имя воспитательницы/няни","","barnvaktens namn",""
"people","barber","","","","","barbiere","","","","","",""
"people","boy","dječak","boy","boy","ילד","","gutt","мальчик","мальчик","nino","pojke",""
"people","boy/girl","","","","","ragazzo/a","","","","","",""
"people","brother","brat","brother","brother","","fratello","bror","брат/имя брата","брат","hermano","bror","abi"
"people","brother's name","","","","","","","","имя брата","","",""
"people","child","dijete","child","child","","bimbo/a","barn","дети","ребенок, дети","","barn","çocuk"
"people","child's own name","svoje ime","child's own name","child's own name","","il suo nome","barnets navn","имя ребенка","имя ребенка","nomnin","barnets eget namn","kendi ismi"
"people","children","djeca","","","","","","","","","",""
"people","clown","","","clown","","","","","клоун","","","palyaço"
"people","cousin","","","","","cugino/a","","","","","",""
"people","cowboy","","","cowboy","","","","","","","",""
"people","daddy","tata","daddy*","","אבא","papà","pappa","папа","папа","papa","pappa","baba"
"people","daddy*","","","daddy*","","","","","","","",""
"people","daughter","","","","","","","","дочка","","",""
"people","doctor","doktor","","doctor","","dottore","","доктор/врач","доктор/врач","","","doktor"
"people","family","","","","","","","","","familia","",""
"people","father's name","","","","","","","имя папы","имя мамы","","",""
"people","fireman","","","fireman","","","","","","","",""
"people","friend","","","friend","חבר","","","","друг, подруга","","","arkadaş"
"people","friends' names","","","","","","","","имена знакомых детей","","",""
"people","girl","djevojčice","girl","girl","","","jente","девочка","девочка","nina","flicka","kız"
"people","godfather","kum/kuma","","","","","","","","padrino","",""
"people","godmother","","","","","","","","","madrina","",""
"people","grandma","baka","grandma*","","סבתא","nonna","bestemor, farmor, mormor","бабушка","бабушка","abuela","farmor, mormor","anneanne/babaanne/büyükanne, nine"
"people","grandma*","","","grandma*","","","","","","","",""
"people","grandpa","djed","grandpa*","","סבא","nonno","bestefar, farfar, morfar","дедушка","дедушка","abuelo","farfar, morfar","dede"
"people","grandpa*","","","grandpa*","","","","","","","",""
"people","great grandma","","","","","","oldemor","","","","",""
"people","great grandpa","","","","","","oldefar","","","","",""
"people","guest","","","","","","","","гость","","",""
"people","hairdresser","","","","","parrucchiere","","","","","",""
"people","lady","","lady","lady","","","dame","","","","tant",""
"people","mailman","","","mailman","","","","","","","",""
"people","man","striček","man","man","","","mann","","","senor","man","adam"
"people","mommy","mama","mommy*","","אמא","mamma","mamma","мама","мама","mama","mamma","anne"
"people","mommy*","","","mommy*","","","","","","","",""
"people","mother's name","","","","","","","имя мамы","имя папы","","",""
"people","names of friends","","","","","","","имена знакомых детей","","","",""
"people","neighbor","","","","שכן","","","","","","",""
"people","nurse","","","nurse","","","","","","","",""
"people","people","ljudi","people","people","","persone","","люди","люди","","människor",""
"people","person","","person","person","איש","","menneske","человек","человек","persona","person",""
"people","pet's name","","","pet's name","","","","клички домашних животных","клички домаш-них животных","","",""
"people","police","","","police","","","","","","","",""
"people","policeman","","","","","","","","","","","polis"
"people","sibling","","","","","","","","","","","kardeş"
"people","sir/lady","","","","","signore/a","","","","","",""
"people","sister","sestra","sister","sister","","sorella","søster","сестра/имя сестры","сестра","hermana","syster","abla"
"people","sister's name","","","","","","","","имя сестры","","",""
"people","son","","","","","","","","сын","","",""
"people","teacher","","teacher","teacher","גננת","maestro/a","","","воспитательница","maestra","lärare",""
"people","traffic officer","","","","","vigile","","","","","",""
"people","uncle","stric, ujak","uncle","uncle","דוד","zio","onkel","дядя","дядя","tio","farbror, morbror","amca, dayı"
"people","woman","","","","","","","","","senora","",""
