"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"time_words","a lot","","","","","tanto","","","","","",""
"time_words","after","","","after","אח'כ","dopo/poi","","потом","","despues","",""
"time_words","all","","","","","tutto","","","","","",""
"time_words","any","","","","","niente, un po'","","","","","",""
"time_words","before","","","before","","","","","","","",""
"time_words","day","dan","day","day","","","dag","днем","день, днем","dia","dag",""
"time_words","early","","","","","","","рано","рано","tempran","",""
"time_words","evening","","","","","","","","вечер, вечером","","","akşam"
"time_words","late","","","","","tardi","","поздно/позже","поздно","","",""
"time_words","later","poslije","later","later","","","senere","","потом","","senare",""
"time_words","little/few","","","","","poco","","","","","",""
"time_words","lunch","","","","צהריים","","","","","","",""
"time_words","moment","","","","רגע","","","","","","",""
"time_words","more","","","","","ancora","","","","","",""
"time_words","morning","jutro","morning","morning","בוקר","mattina","morgen","утром","утро, утром","","morgon","sabah"
"time_words","much","","","","","di più, molto","","","","","",""
"time_words","night","noć","night","night","לילה","notte","natt","ночью","ночь, ночью","noche","natt","gece"
"time_words","none","","","","","nessuno","","","","","",""
"time_words","now","sad(a)","now","now","עכשיו","adesso/ora","nå","сейчас","сейчас","ahorita","nu","hemen, şimdi"
"time_words","sabbath","","","","שבת","","","","","","",""
"time_words","soon","","","","","","","","скоро","","",""
"time_words","time","","","time","פעם","","","","","","",""
"time_words","today","danas","today","today","היום","oggi","i dag","","сегодня","hoy","idag","bugün"
"time_words","tomorrow","sutra","tomorrow","tomorrow","מחר","domani","i morgen","завтра","завтра","manana","imorgon",""
"time_words","tonight","večeras","tonight","tonight","","","i kveld","","","","ikväll",""
"time_words","yesterday","","","yesterday","אתמול","ieri","","вчера","вчера","ayer","",""
