"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"predicates","descriptive_words (adverbs)","again",,,,,,,"опять",,,
"predicates","descriptive_words (adverbs)","badly",,,,,,"плохо","плохо",,,
"predicates","descriptive_words (adverbs)","beautifully",,,,,,"красиво","красиво",,,
"predicates","descriptive_words (adverbs)","bitterly",,,,,,,"горько",,,
"predicates","descriptive_words (adverbs)","carefully",,,,,,"осторожно","осторожно",,,
"predicates","descriptive_words (adverbs)","cheerfully",,,,,,,"весело",,,
"predicates","descriptive_words (adverbs)","cleanly",,,,,,"чисто","чисто",,,
"predicates","descriptive_words (adverbs)","coldly",,,,,,"холодно","холодно",,,
"predicates","descriptive_words (adverbs)","darkly",,,,,,"темно","темно",,,
"predicates","descriptive_words (adverbs)","dirtily",,,,,,"грязно","грязно",,,
"predicates","descriptive_words (adverbs)","dryly",,,,,,,"сухо",,,
"predicates","descriptive_words (adverbs)","heavily",,,,,,"тяжело","тяжело",,,
"predicates","descriptive_words (adverbs)","hotly",,,,,,"горячо","горячо",,,
"predicates","descriptive_words (adverbs)","in no way",,,,,,,"никак",,,
"predicates","descriptive_words (adverbs)","loudly",,,,,,"громко","громко",,,
"predicates","descriptive_words (adverbs)","painfully",,,,,,"больно","больно",,,
"predicates","descriptive_words (adverbs)","quickly",,,,,,"быстро","быстро",,,
"predicates","descriptive_words (adverbs)","quietly",,,,,,"тихо/тише","тихо/тише",,,
"predicates","descriptive_words (adverbs)","softly",,,,,,,"мягко",,,
"predicates","descriptive_words (adverbs)","sourly",,,,,,,"кисло",,,
"predicates","descriptive_words (adverbs)","strongly",,,,,,,"сильно",,,
"predicates","descriptive_words (adverbs)","sweetly",,,,,,"сладко","сладко",,,
"predicates","descriptive_words (adverbs)","tastily",,,,,,"вкусно","вкусно",,,
"predicates","descriptive_words (adverbs)","together",,,,,,,"вместе",,,
"predicates","descriptive_words (adverbs)","totally",,,,,,,"совсем",,,
"predicates","descriptive_words (adverbs)","warmly",,,,,,"тепло","тепло",,,
"predicates","descriptive_words (adverbs)","well",,,,,,"хорошо","хорошо",,,
"predicates","descriptive_words (adverbs)","wetly",,,,,,"мокро","мокро",,,
