"lexical_class","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"verbs","bathe","","","","","","","","","yıkan"
"verbs","begin","","","","","","","","","başla, ol"
"verbs","bite","gristi","bite","לנשוך","mordere","bite","кусать/кусаться","morder","bita","isır"
"verbs","bless","","","לברך","","","","","",""
"verbs","blow","puhati","blow","לנשוף","soffiare","blåse","дуть","soplar","blåsa",""
"verbs","break","razbiti","break","לשבור","rompere","ødelegge","","romper","bryta","kır"
"verbs","bring","donijeti","bring","להביא","","","принести","","","getir"
"verbs","bump","","bump","","","","","","",""
"verbs","buy","kupiti","","","","","","","",""
"verbs","can","","","","","","","poder","",""
"verbs","carry","","","","","","","","","taşı"
"verbs","catch","","","","","","","","","yakala"
"verbs","clap","","","","","","хлопать","","",""
"verbs","clean (action)","čistiti","clean (action)","לנקות","pulire","rydde","","","städa",""
"verbs","climb","","","","","","залезть","subir","","çık"
"verbs","close","zatvoriti","close","לסגור","chiudere","lukke","закрыть","cerrar","stänga","kapat"
"verbs","collect","","","","","","собирать","","",""
"verbs","comb (action)","","","לסרק","pettinare","","","peinars","","tara"
"verbs","come","","","","venire","","","","","gel"
"verbs","cough","","","","","","","","","öksür"
"verbs","count","","","","","","","","","say"
"verbs","cover","","","","","","","","","ört"
"verbs","cry","plakati","cry","לבכות","piangere","gråte","плакать","llorar","gråta","ağla"
"verbs","dance","plesati","dance","לרקוד","ballare","danse","танцевать","bailar","dansa",""
"verbs","descend","","","לרדת","","","","","",""
"verbs","die","","","","","","","","","öl"
"verbs","dig","","","","","","копать","","",""
"verbs","do","","","","","","","","","yap"
"verbs","draw","crtati","draw","לצייר","","tegne","","dibujar","rita","çiz"
"verbs","dress (action)","","","","","","одеть","","","gıdıkla"
"verbs","drink (action)","piti","drink (action)","לשתות","bere","drikke","пить","","dricka","iç"
"verbs","drive","voziti","drive","לנהוג, לרכב","","kjøre","ездить/ехать","","köra",""
"verbs","drop","","","","","","","","","bırak"
"verbs","dry (action)","","","","","tørke","","secarse","",""
"verbs","dump","","","","buttare","","","","",""
"verbs","eat","jesti","eat","לאכול","mangiare","spise","есть, кушать","comer","äta","ye"
"verbs","eat breakfast","","","","","","","desyuna","",""
"verbs","eat dinner","","","","","","","cenar","",""
"verbs","enter","","","","","","","","","git"
"verbs","fall","pasti","fall","ליפול","cadere","falle","падать","caer","falla","düş"
"verbs","feed","","feed","להאכיל","","mate","кормить","","mata","yedir"
"verbs","fight","tući","","","","","","","",""
"verbs","find","","","","","","","","","bul"
"verbs","finish","","finish","לגמור","finire","gjøre seg ferdig","","acabars","","bit"
"verbs","flee","bježati","","","","","","","",""
"verbs","flip","","","להחליף","","","","","",""
"verbs","fly (action)","","","","volare","","","","","uç"
"verbs","get","dobiti","get","","","få, hente","","","hämta",""
"verbs","get off","","","","","","","","","in"
"verbs","get up","","","","","","вставать","","",""
"verbs","get wet","","","","","","","","","islan"
"verbs","give","dati","give","לתת","dare","gi","дать","dar","ge","ver"
"verbs","go","ići","go","ללכת","andare","dra","идти","ir","åka","giy"
"verbs","go out","","","","uscire","","","","",""
"verbs","greet","","","","salutare","","","","",""
"verbs","have","","","","","","","tener","",""
"verbs","hear","","","","sentire","","слушать/слышать","","",""
"verbs","help","pomoći","help","לעזור","","hjelpe","","ayudar","hjälpa",""
"verbs","hide","","","להחביא","","","прятать/прятаться","","","sakla"
"verbs","hit","udariti se","hit","להכות","","slå","","pegar","slå","vur"
"verbs","hold","","","","","","","","","tut"
"verbs","hug","zagrliti","hug","לחבק","abbracciare","klemme","обнять","","krama","sarıl"
"verbs","hungry","","","","","","","","","acık"
"verbs","hurry","žuriti","hurry","למהר","","forte seg","","apurar","skynda",""
"verbs","hurt","","","","","","","doler","","acı (canı)"
"verbs","jump","skočiti","jump","לקפוץ","saltare","hoppe","прыгать","brincar","hoppa","atla"
"verbs","kick","šutnuti","kick","לבעוט","","sparke","","","sparka","döv"
"verbs","kiss","poljubiti","kiss","לנשק","baciare","kysse","целовать","","pussa","öp"
"verbs","laugh","","","","","","","","","gül"
"verbs","leave","","","לצאת","","","","","",""
"verbs","lick","","","","leccare","","","","",""
"verbs","lie","","","","","","лежать","","","yat"
"verbs","lift","","","","","","","","","kaldır"
"verbs","light (action)","","","להדליק","","","","","",""
"verbs","lock","","","לנעול","","","","","",""
"verbs","look","gledati","look","להסתכל","","se på","смотреть","mirar","titta","bak"
"verbs","look for","","","לחפש","","","искать","","","ara"
"verbs","love","voljeti","love","לאהוב","","elske","любить","","","sev"
"verbs","lower","","","להוריד","","","","","",""
"verbs","make","","","","fare","","делать","","",""
"verbs","open","otvoriti","open","לפתוח","aprire","åpne","открыть","abrir","öppna","aç"
"verbs","opened","","","","","","","","","açıl"
"verbs","paint","","","","","","","pintar","","boya"
"verbs","pass","","","","","","","","","geç"
"verbs","pee","","","","","","пúсать","","",""
"verbs","play","igrati se","play","לשחק, לשחק","giocare","leke","играть","jugar","leka","oyna"
"verbs","poop","","","","","","какать","","",""
"verbs","press","","","","","","","","","bas"
"verbs","pull","vući","pull","למשוך","tirare","","","","dra","çek"
"verbs","push","gurati","push","לדחוף","spingere","dytte","","empujar","knuffa","it"
"verbs","put","staviti","put","לשים","mettere","legge","класть, положить","meterse, poner","sätta","koy"
"verbs","put in","","","","","","","","","sok"
"verbs","put on","","","","","","","","","tak"
"verbs","put out","","","","spegnere","","","","",""
"verbs","read","čitati","read","לקרוא","leggere","lese","читать","leer","läsa",""
"verbs","ride","jahati","ride","","","ri","катать/кататься","","","bin"
"verbs","rock (action)","","","","cullare","","","","",""
"verbs","run","trčati","run","לרוץ","correre","løpe","бегать/бежать","correr","springa","koş"
"verbs","save","","","לשמור","","","","","",""
"verbs","say","reći","say","להגיד","dire","si","","decir","säga","söyle"
"verbs","scared","","","","","","бояться","","","kork"
"verbs","see","vidjeti","see","לראות","vedere","se","","ver","se","gör"
"verbs","seek","","","","cercare","","","","",""
"verbs","shake","","","","","","","","","salla"
"verbs","shout","","","","","","","","","bağır"
"verbs","show","","show","","","vise","показать","ensenar","visa","göster"
