"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"action_words","bathe","","","","","","","","","yıkan"
"action_words","begin","","","","","","","","","başla, ol"
"action_words","bite","gristi","bite","לנשוך","mordere","bite","кусать/кусаться","morder","bita","isır"
"action_words","bless","","","לברך","","","","","",""
"action_words","blow","puhati","blow","לנשוף","soffiare","blåse","дуть","soplar","blåsa",""
"action_words","break","razbiti","break","לשבור","rompere","ødelegge","","romper","bryta","kır"
"action_words","bring","donijeti","bring","להביא","","","принести","","","getir"
"action_words","bump","","bump","","","","","","",""
"action_words","buy","kupiti","","","","","","","",""
"action_words","can","","","","","","","poder","",""
"action_words","carry","","","","","","","","","taşı"
"action_words","catch","","","","","","","","","yakala"
"action_words","clap","","","","","","хлопать","","",""
"action_words","clean","","","","pulire","","","","",""
"action_words","clean (action)","čistiti","clean (action)","לנקות","","rydde","","","städa",""
"action_words","climb","","","","","","залезть","subir","","çık"
"action_words","close","zatvoriti","close","לסגור","chiudere","lukke","закрыть","cerrar","stänga","kapat"
"action_words","collect","","","","","","собирать","","",""
"action_words","comb (action)","","","לסרק","pettinare","","","peinars","","tara"
"action_words","come","","","","venire","","","","","gel"
"action_words","cough","","","","","","","","","öksür"
"action_words","count","","","","","","","","","say"
"action_words","cover","","","","","","","","","ört"
"action_words","cry","plakati","cry","לבכות","piangere","gråte","плакать","llorar","gråta","ağla"
"action_words","dance","plesati","dance","לרקוד","ballare","danse","танцевать","bailar","dansa",""
"action_words","descend","","","לרדת","","","","","",""
"action_words","die","","","","","","","","","öl"
"action_words","dig","","","","","","копать","","",""
"action_words","do","","","","","","","","","yap"
"action_words","draw","crtati","draw","לצייר","","tegne","","dibujar","rita","çiz"
"action_words","dress","","","","","","","","","gıdıkla"
"action_words","dress (action)","","","","","","одеть","","",""
"action_words","drink","","","","bere","","","","",""
"action_words","drink (action)","piti","drink (action)","לשתות","","drikke","пить","","","iç"
"action_words","drink (beverage)","","","","","","","","dricka",""
"action_words","drive","voziti","drive","לנהוג, לרכב","","kjøre","ездить/ехать","","köra",""
"action_words","drop","","","","","","","","","bırak"
"action_words","dry (action)","","","","","tørke","","secarse","",""
"action_words","dump","","","","buttare","","","","",""
"action_words","eat","jesti","eat","לאכול","mangiare","spise","есть, кушать","comer","äta","ye"
"action_words","eat breakfast","","","","","","","desyuna","",""
"action_words","eat dinner","","","","","","","cenar","",""
"action_words","enter","","","","","","","","","git"
"action_words","fall","pasti","fall","ליפול","cadere","falle","падать","caer","falla","düş"
"action_words","feed","","feed","להאכיל","","mate","кормить","","mata","yedir"
"action_words","fight","tući","","","","","","","",""
"action_words","find","","","","","","","","","bul"
"action_words","finish","","finish","לגמור","finire","gjøre seg ferdig","","acabars","","bit"
"action_words","flee","bježati","","","","","","","",""
"action_words","flip","","","להחליף","","","","","",""
"action_words","fly","","","","volare","","","","",""
"action_words","fly (action)","","","","","","","","","uç"
"action_words","get","dobiti","get","","","få, hente","","","hämta",""
"action_words","get off","","","","","","","","","in"
"action_words","get up","","","","","","вставать","","",""
"action_words","give","dati","give","לתת","dare","gi","дать","dar","ge","ver"
"action_words","go","ići","go","ללכת","andare","dra","идти","ir","åka","giy"
"action_words","go out","","","","uscire","","","","",""
"action_words","greet","","","","salutare","","","","",""
"action_words","have","","","","","","","tener","",""
"action_words","hear","","","","sentire","","слушать/слышать","","",""
"action_words","help","pomoći","help","לעזור","","hjelpe","","ayudar","hjälpa",""
"action_words","hide","","","להחביא","","","прятать/прятаться","","","sakla"
"action_words","hit","udariti se","hit","להכות","","slå","","pegar","slå","vur"
"action_words","hold","","","","","","","","","tut"
"action_words","hug","zagrliti","hug","לחבק","abbracciare","klemme","обнять","","krama","sarıl"
"action_words","hungry","","","","","","","","","acık"
"action_words","hurry","žuriti","hurry","למהר","","forte seg","","apurar","skynda",""
"action_words","hurt","","","","","","","doler","","acı (canı)"
"action_words","jump","skočiti","jump","לקפוץ","saltare","hoppe","прыгать","brincar","hoppa","atla"
"action_words","kick","šutnuti","kick","לבעוט","","sparke","","","sparka","döv"
"action_words","kiss","poljubiti","kiss","לנשק","baciare","kysse","целовать","","pussa","öp"
"action_words","laugh","","","","","","","","","gül"
"action_words","leave","","","לצאת","","","","","",""
"action_words","lick","","","","leccare","","","","",""
"action_words","lie","","","","","","лежать","","","yat"
"action_words","lift","","","","","","","","","kaldır"
"action_words","light (action)","","","להדליק","","","","","",""
"action_words","lock","","","לנעול","","","","","",""
"action_words","look","gledati","look","להסתכל","","se på","смотреть","mirar","titta","bak"
"action_words","look for","","","לחפש","","","искать","","","ara"
"action_words","love","voljeti","love","לאהוב","","elske","любить","","","sev"
"action_words","lower","","","להוריד","","","","","",""
"action_words","make","","","","fare","","делать","","",""
"action_words","open","otvoriti","open","לפתוח","aprire","åpne","открыть","abrir","öppna","aç"
"action_words","opened","","","","","","","","","açıl"
"action_words","paint","","","","","","","pintar","","boya"
"action_words","pass","","","","","","","","","geç"
"action_words","pee","","","","","","пúсать","","",""
"action_words","play","igrati se","play","לשחק, לשחק","giocare","leke","играть","jugar","leka","oyna"
