"lexical_class","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"adverbs","badly","","","","","","плохо","","",""
"adverbs","beautifully","","","","","","красиво","","",""
"adverbs","carefully","","","","","","осторожно","","",""
"adverbs","cleanly","","","","","","чисто","","",""
"adverbs","coldly","","","","","","холодно","","",""
"adverbs","darkly","","","","","","темно","","",""
"adverbs","dirtily","","","","","","грязно","","",""
"adverbs","heavily","","","","","","тяжело","","",""
"adverbs","hotly","","","","","","горячо","","",""
"adverbs","loudly","","","","","","громко","","",""
"adverbs","painfully","","","","","","больно","","",""
"adverbs","quickly","","","","","","быстро","","",""
"adverbs","quietly","","","","","","тихо/тише","","",""
"adverbs","sweetly","","","","","","сладко","","",""
"adverbs","tastily","","","","","","вкусно","","",""
"adverbs","warmly","","","","","","тепло","","",""
"adverbs","well","","","","","","хорошо","","",""
"adverbs","wetly","","","","","","мокро","","",""
