"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"quantifiers","a","","","a","","","","","","","",""
"quantifiers","a little","","","","מעט ","","","","чуть-чуть","","",""
"quantifiers","a lot","","","a lot","","","","","много","mucho","",""
"quantifiers","a/an","","","","","un/uno/una","","","","","",""
"quantifiers","again","","","","","","","","","otravez","","yine/gene"
"quantifiers","all","sve","all","all","","","alle","все","все","todo","alla","hepsi"
"quantifiers","all gone","","","","","","","","всё (в знач. нет кончилось)","","",""
"quantifiers","already","","","","","","","","","ya","",""
"quantifiers","also","","","","גם ","","","","","tambien","",""
"quantifiers","an","","","an","","","","","","","",""
"quantifiers","another","drugi","another","another","","altro/un altro","en annen","другой","другой","","en till",""
"quantifiers","any","","","any","","","","","","","",""
"quantifiers","each","","","each","","","","","","","",""
"quantifiers","enough","","","","","","","хватит","хватит","","",""
"quantifiers","every","","","every","","","","","","","",""
"quantifiers","everyone","","","","כולם","","","","","","",""
"quantifiers","five","","","","","","","","пять","","",""
"quantifiers","four","","","","","","","","четыре","","",""
"quantifiers","here","","","","","","","","","","","işte"
"quantifiers","little (amount)","malo","","","","","","","","","",""
"quantifiers","little (quantifier)","","","","","","","","мало","","",""
"quantifiers","many","puno","","","המון","","","","","","",""
"quantifiers","more","još, više","more","more","עוד","","mer","еще","еще","mas","mer","daha/bir daha"
"quantifiers","much","","","much","הרבה","","","","","","","çok"
"quantifiers","no one","","","","אף אחד","","","","","","",""
"quantifiers","none","ništa","none","none","כלום","","ingen","","нет","nohay","ingen","hiç"
"quantifiers","not","nema","not","not","","","ikke","нет","","","inte",""
"quantifiers","nothing","","","","","","ingenting","","","nada","",""
"quantifiers","one","","","","","","","","один","","",""
"quantifiers","other","","other","other","","","","","","","andra","öbürü"
"quantifiers","same","","same","same","","","samme","","","","samma",""
"quantifiers","some","","some","some","","","noe","","несколько","","några","biraz"
"quantifiers","someone","","","","","","noen","","","","",""
"quantifiers","the","","","the","","il, lo, la, i, gli, le","","","","","",""
"quantifiers","three","","","","","","","","три","","",""
"quantifiers","too","","","too","","","","","","","",""
"quantifiers","two","","","","","","","","два","","",""
