"lexical_class","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"adjectives","all gone","gotovo","all gone","","","borte","","","borta",""
"adjectives","angry","","","","arrabbiato","","","enojado","",""
"adjectives","asleep","spava","asleep","","","","","sueno","sover",""
"adjectives","bad","zločest(o)","bad","רע","cattivo","frekk","плохой","malo","dålig",""
"adjectives","beautiful","","","","","skjønn","","","",""
"adjectives","big","velik(o)","big","גדול","grande/grosso","stor","большой","grande","stor","büyük, kocaman"
"adjectives","bitter","","","","","","","","","acı (lezzet)"
"adjectives","black","","","","nero","","черный","","",""
"adjectives","blue","plava","blue","","","blå","синий","azul","blå",""
"adjectives","broken","","broken","מקולקל, שבור","rotto","ødelagt","","roto","trasig",""
"adjectives","careful","","careful","זהיר","attento","forsiktig","","cuidado","försiktig",""
"adjectives","clean (description)","čist(o)","clean (description)","נקי","pulito","ren","чистый","limpio","ren","temiz"
"adjectives","closed (description)","","","","","","","","","kapalı"
"adjectives","cold","hladno, zima","cold","קר","freddo","kald","холодный","frio","kall","soğuk"
"adjectives","cute","","cute","חמוד","carino","søt","","guapo","","cici"
"adjectives","dark","mrak","dark","","buio","mørkt","","oscuro","mörk","karanlık"
"adjectives","different","","","","","","","difernt","",""
"adjectives","dirty","prljav(o)","dirty","מלוכלך","sporco","skitten","грязный","sucio","smutsig","kirli, pis"
"adjectives","dry (description)","suh(o)","dry (description)","יבש","asciutto","tørr","","","torr",""
"adjectives","easy","","","","","grei","","","",""
"adjectives","empty","prazno","empty","ריק","vuoto","tom","","vacio","tom","boş"
"adjectives","fast","brz(o)","fast","מהר","","fort","","","fort",""
"adjectives","fat","","","שמן","","","","","",""
"adjectives","fine","divno, fin(o)","fine","","","fin","","","fin",""
"adjectives","finished","","","","finito","","","","",""
"adjectives","full","","","","pieno","","","lleno","",""
"adjectives","funny","","","","","","","","","komik"
"adjectives","gentle","nježno","gentle","","","","","","",""
"adjectives","good","dobro","good","טוב","buono","bra","хороший","","god","iyi"
"adjectives","green","","","","","","зеленый","verde","",""
"adjectives","happy","sretan","happy","שמח","contento, felice","glad","","content","glad",""
"adjectives","hard","teško","hard","קשה","duro","hard","","dificil","hård, svår",""
"adjectives","heavy","","","","pesante","","тяжелый","pesado","",""
"adjectives","high","","","","alto","","","","",""
"adjectives","hot","vruće","hot","חם","caldo","varm","горячий","calient","varmt","sıcak"
"adjectives","hungry","gladan","hungry","רעב","","sulten","голодный","hambre","hungrig",""
"adjectives","hurt","boli","hurt","","","vondt","","","skada",""
"adjectives","little (description)","mal(o)","little (description)","נמוך, קטן, קצר","piccolo","liten","маленький","chico, poco","lite","küçük"
"adjectives","loud","","","","forte","","громкий","","",""
"adjectives","many","","","","","","","","","çok"
"adjectives","naked","","","","","","голый","","",""
"adjectives","naughty","","naughty","שובב","disubbidiente","slem","","","stygg","yaramaz"
"adjectives","new","","","","nuovo","","","nuevo","","yeni"
"adjectives","nice","krasno","nice","נחמד","bello","","","","trevlig",""
"adjectives","old","star(o)","old","זקן, ישן","","gammel","","viejo","gammal",""
"adjectives","open (description)","","","","","","","","","açık"
"adjectives","orange (description)","","","","","","оранжевый","","",""
"adjectives","pretty","lijep(o)","pretty","יפה","","pen","красивый","bonita","","güzel"
"adjectives","quick","","","","","","","","snabb",""
"adjectives","red","crvena","red","","rosso","rød","красный","rojo","röd","kırmızı"
"adjectives","sad","","","","triste","","","triste","",""
"adjectives","salty","","","מלוח","","","","","",""
"adjectives","same","","","","","","","igual","",""
"adjectives","scared","strašno","scared","","","redd","страшный","miedo","",""
"adjectives","sick","bolestan","sick","חולה","malato","syk","","enfermo","sjuk","hasta"
"adjectives","sleepy","pospan(o)","sleepy","","","sliten","","","",""
"adjectives","slow","polako","","","piano","","","","",""
"adjectives","smart","","","חכם","","","","","",""
"adjectives","soft","mekan(o)","soft","רך","morbido","myk","","suave","mjuk",""
"adjectives","sweet","","","מתוק","dolce","","сладкий","","söt","tatlı"
"adjectives","tasty","","","טעים","","","вкусный","","",""
"adjectives","thin","","","רזה","","","","","",""
"adjectives","thirsty","žedan","thirsty","צמא","","tørst","","sed","törstig",""
"adjectives","tired","umoran","tired","עייף","stanco","trøtt","","cansado","trött, trot2",""
"adjectives","toy (description)","","","","","","игрушечный","","",""
"adjectives","ugly","ružno","","","brutto","","","feo","","çirkin"
"adjectives","warm","toplo","","","","","теплый","","",""
"adjectives","wet","mok(ro)","wet","רטוב","bagnato","våt","мокрый","","våt","islak"
"adjectives","white","","","","","","белый","","",""
"adjectives","yellow","","","","giallo","","желтый","amarill","",""
"adjectives","yucky","","yucky","מגעיל","","ekkelt","","fuchi","äcklig",""
