"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"descriptive_words (adjectives)","bad","","","","","","","плохой","плохой","","",""
"descriptive_words (adjectives)","big","","","","","","","большой","большой","","",""
"descriptive_words (adjectives)","bitter","","","","","","","","горький","","",""
"descriptive_words (adjectives)","black","","","","","","","черный","черный","","",""
"descriptive_words (adjectives)","blue","","","","","","","синий","синий","","",""
"descriptive_words (adjectives)","broken","","","","","","","","сломанный","","",""
"descriptive_words (adjectives)","brown","","","","","","","","коричневый","","",""
"descriptive_words (adjectives)","clean (description)","","","","","","","чистый","чистый","","",""
"descriptive_words (adjectives)","cold","","","","","","","холодный","холодный","","",""
"descriptive_words (adjectives)","dirty","","","","","","","грязный","грязный","","",""
"descriptive_words (adjectives)","dry","","","","","","","","сухой","","",""
"descriptive_words (adjectives)","empty","","","","","","","","пустой","","",""
"descriptive_words (adjectives)","fast","","","","","","","","быстрый","","",""
"descriptive_words (adjectives)","fat","","","","","","","","толстый","","",""
"descriptive_words (adjectives)","full","","","","","","","","полный","","",""
"descriptive_words (adjectives)","good","","","","","","","хороший","хороший","","",""
"descriptive_words (adjectives)","green","","","","","","","зеленый","зеленый","","",""
"descriptive_words (adjectives)","happy","","","","","","","","веселый","","",""
"descriptive_words (adjectives)","heavy","","","","","","","тяжелый","тяжелый","","",""
"descriptive_words (adjectives)","high","","","","","","","","высокий","","",""
"descriptive_words (adjectives)","hot","","","","","","","горячий","горячий","","",""
"descriptive_words (adjectives)","hungry","","","","","","","голодный","голодный","","",""
"descriptive_words (adjectives)","little (description)","","","","","","","маленький","маленький","","",""
"descriptive_words (adjectives)","long","","","","","","","","длинный","","",""
"descriptive_words (adjectives)","loud","","","","","","","громкий","громкий","","",""
"descriptive_words (adjectives)","naked","","","","","","","голый","голый","","",""
"descriptive_words (adjectives)","naughty","","","","","","","","непослушный","","",""
"descriptive_words (adjectives)","new","","","","","","","","новый","","",""
"descriptive_words (adjectives)","nice","","","","","","","","добрый","","",""
"descriptive_words (adjectives)","old","","","","","","","","старый","","",""
"descriptive_words (adjectives)","orange (description)","","","","","","","оранжевый","оранжевый","","",""
"descriptive_words (adjectives)","pretty","","","","","","","красивый","красивый","","",""
"descriptive_words (adjectives)","quiet","","","","","","","","тихий","","",""
"descriptive_words (adjectives)","real","","","","","","","","настоящий","","",""
"descriptive_words (adjectives)","red","","","","","","","красный","красный","","",""
"descriptive_words (adjectives)","salty","","","","","","","","соленый","","",""
"descriptive_words (adjectives)","scared","","","","","","","страшный","страшный","","",""
"descriptive_words (adjectives)","short","","","","","","","","короткий","","",""
"descriptive_words (adjectives)","sick","","","","","","","","больной","","",""
"descriptive_words (adjectives)","similar","","","","","","","","похожий","","",""
"descriptive_words (adjectives)","slow","","","","","","","","медленный","","",""
"descriptive_words (adjectives)","smart","","","","","","","","умный","","",""
"descriptive_words (adjectives)","soft","","","","","","","","мягкий","","",""
"descriptive_words (adjectives)","sour","","","","","","","","кислый","","",""
"descriptive_words (adjectives)","strong","","","","","","","","сильный","","",""
"descriptive_words (adjectives)","sweet","","","","","","","сладкий","сладкий","","",""
"descriptive_words (adjectives)","tasty","","","","","","","вкусный","вкусный","","",""
"descriptive_words (adjectives)","toy (description)","","","","","","","игрушечный","игрушечный","","",""
"descriptive_words (adjectives)","warm","","","","","","","теплый","теплый","","",""
"descriptive_words (adjectives)","wet","","","","","","","мокрый","мокрый","","",""
"descriptive_words (adjectives)","white","","","","","","","белый","белый","","",""
"descriptive_words (adjectives)","yellow","","","","","","","желтый","желтый","","",""
