"lexical_category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"function_words","a","","","a","","","","","","un, una, unas, unos","",""
"function_words","a little","","","","מעט ","","","","чуть-чуть","","",""
"function_words","a lot","","","a lot","","","","","много","mucho","",""
"function_words","a/an","","","","","un/uno/una","","","","","",""
"function_words","about","","","about","","","","","","","",""
"function_words","above","","","above","","sopra","","","","","",""
"function_words","again","","","","","","","","","otravez","","yine/gene"
"function_words","all","sve","all","all","","","alle","все","все","todo","alla","hepsi"
"function_words","all gone","","","","","","","","всё (в знач. нет кончилось)","","",""
"function_words","already","","","","","","","","","ya","",""
"function_words","also","","","","גם ","","","","тоже","tambien","",""
"function_words","am","","","am","","","","","","","",""
"function_words","an","","","an","","","","","","","",""
"function_words","and","","","and","","","","","и","","",""
"function_words","another","drugi","another","another","","altro/un altro","en annen","другой","другой","","en till",""
"function_words","any","","","any","","","","","","","",""
"function_words","are","","","are","","","","","","","",""
"function_words","around","","","around","","","","","","","",""
"function_words","as","","","","","","","","как","","",""
"function_words","at","","","at","","a","","","","","",""
"function_words","away","","away","away","","lontano","bort","","","","bort",""
"function_words","back","iza","back","back","מאחורי","","bak","","","atras","bakom","arkasında"
"function_words","backward","","","","","","","","назад","","",""
"function_words","be","","","be","","","","","","estar, ser","",""
"function_words","because","","","because","","","","","потому что","","",""
"function_words","behind","","","behind","","","","","","","",""
"function_words","beside","","","beside","","","","","рядом","","",""
"function_words","between","","","","בין","","","","","","",""
"function_words","but","","","but","","","","","а, но","","",""
"function_words","by","","","by","","da","","","","","av",""
"function_words","can (auxiliary)","","","can (auxiliary)","","","","","","","",""
"function_words","could","","","could","","","","","","","",""
"function_words","did/did ya","","","did/did ya","","","","","","","",""
"function_words","do","","","do","","","","","","","",""
"function_words","does","","","does","","","","","","","",""
"function_words","don't","","","don't","","","","","","","",""
"function_words","down","dolje","down","down","למטה","giù","ned","вниз/внизу","вниз/внизу","abajo","ner",""
"function_words","down (stairs)","","","","","","nede","","","","",""
