"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"descriptive_words (adjectives)","bad","","","","","","плохой","","",""
"descriptive_words (adjectives)","big","","","","","","большой","","",""
"descriptive_words (adjectives)","black","","","","","","черный","","",""
"descriptive_words (adjectives)","blue","","","","","","синий","","",""
"descriptive_words (adjectives)","clean (description)","","","","","","чистый","","",""
"descriptive_words (adjectives)","cold","","","","","","холодный","","",""
"descriptive_words (adjectives)","dirty","","","","","","грязный","","",""
"descriptive_words (adjectives)","good","","","","","","хороший","","",""
"descriptive_words (adjectives)","green","","","","","","зеленый","","",""
"descriptive_words (adjectives)","heavy","","","","","","тяжелый","","",""
"descriptive_words (adjectives)","hot","","","","","","горячий","","",""
"descriptive_words (adjectives)","hungry","","","","","","голодный","","",""
"descriptive_words (adjectives)","little (description)","","","","","","маленький","","",""
"descriptive_words (adjectives)","loud","","","","","","громкий","","",""
"descriptive_words (adjectives)","naked","","","","","","голый","","",""
"descriptive_words (adjectives)","orange (description)","","","","","","оранжевый","","",""
"descriptive_words (adjectives)","pretty","","","","","","красивый","","",""
"descriptive_words (adjectives)","red","","","","","","красный","","",""
"descriptive_words (adjectives)","scared","","","","","","страшный","","",""
"descriptive_words (adjectives)","sweet","","","","","","сладкий","","",""
"descriptive_words (adjectives)","tasty","","","","","","вкусный","","",""
"descriptive_words (adjectives)","toy (description)","","","","","","игрушечный","","",""
"descriptive_words (adjectives)","warm","","","","","","теплый","","",""
"descriptive_words (adjectives)","wet","","","","","","мокрый","","",""
"descriptive_words (adjectives)","white","","","","","","белый","","",""
"descriptive_words (adjectives)","yellow","","","","","","желтый","","",""
