"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"function_words","quantifiers","a",,,"a",,,,,,,
"function_words","quantifiers","a little",,,,"מעט ",,,"чуть-чуть",,,
"function_words","quantifiers","a lot",,,"a lot",,,,"много","mucho",,
"function_words","quantifiers","again",,,,,,,,"otravez",,"yine/gene"
"function_words","quantifiers","all","sve","all","all",,"alle","все","все","todo","alla","hepsi"
"function_words","quantifiers","all gone",,,,,,,"всё (в знач. нет кончилось)",,,
"function_words","quantifiers","already",,,,,,,,"ya",,
"function_words","quantifiers","also",,,,"גם ",,,,"tambien",,
"function_words","quantifiers","an",,,"an",,,,,,,
"function_words","quantifiers","another","drugi","another","another",,"en annen","другой","другой",,"en till",
"function_words","quantifiers","any",,,"any",,,,,,,
"function_words","quantifiers","each",,,"each",,,,,,,
"function_words","quantifiers","enough",,,,,,"хватит","хватит",,,
"function_words","quantifiers","every",,,"every",,,,,,,
"function_words","quantifiers","everyone",,,,"כולם",,,,,,
"function_words","quantifiers","five",,,,,,,"пять",,,
"function_words","quantifiers","four",,,,,,,"четыре",,,
"function_words","quantifiers","here",,,,,,,,,,"işte"
"function_words","quantifiers","little (amount)","malo",,,,,,,,,
"function_words","quantifiers","little (quantifier)",,,,,,,"мало",,,
"function_words","quantifiers","many","puno",,,"המון",,,,,,
"function_words","quantifiers","more","još, više","more","more","עוד","mer","еще","еще","mas","mer","daha/bir daha"
"function_words","quantifiers","much",,,"much","הרבה",,,,,,"çok"
"function_words","quantifiers","no one",,,,"אף אחד",,,,,,
"function_words","quantifiers","none","ništa","none","none","כלום","ingen",,"нет","nohay","ingen","hiç"
"function_words","quantifiers","not","nema","not","not",,"ikke","нет",,,"inte",
"function_words","quantifiers","nothing",,,,,"ingenting",,,"nada",,
"function_words","quantifiers","one",,,,,,,"один",,,
"function_words","quantifiers","other",,"other","other",,,,,,"andra","öbürü"
"function_words","quantifiers","same",,"same","same",,"samme",,,,"samma",
"function_words","quantifiers","some",,"some","some",,"noe",,"несколько",,"några","biraz"
"function_words","quantifiers","someone",,,,,"noen",,,,,
"function_words","quantifiers","the",,,"the",,,,,,,
"function_words","quantifiers","three",,,,,,,"три",,,
"function_words","quantifiers","too",,,"too",,,,,,,
"function_words","quantifiers","two",,,,,,,"два",,,
