"category","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"people","aunt","teta","aunt","","zia","tante","тетя","tia","faster, moster","hala, teyze"
"people","baby","beba","baby","תינוק","","baby","малыш","bebe","baby","bebek"
"people","babysitter","","babysitter","","babysitter/tata","","няня","nana","barnvakt",""
"people","babysitter's name","ime osobe koja čuva dijete","babysitter's name","","","","","","barnvaktens namn",""
"people","barber","","","","barbiere","","","","",""
"people","boy","dječak","boy","ילד","ragazzo/a","gutt","мальчик","nino","pojke",""
"people","brother","brat","brother","","fratello","bror","брат/имя брата","hermano","bror","abi"
"people","child","dijete","child","","bimbo/a","barn","дети","","barn","çocuk"
"people","child's own name","svoje ime","child's own name","","il suo nome","barnets navn","имя ребенка","nomnin","barnets eget namn","kendi ismi"
"people","children","djeca","","","","","","","",""
"people","clown","","","","","","","","","palyaço"
"people","cousin","","","","cugino/a","","","","",""
"people","daddy","tata","daddy*","אבא","papà","pappa","папа","papa","pappa","baba"
"people","doctor","doktor","","","dottore","","доктор/врач","","","doktor"
"people","family","","","","","","","familia","",""
"people","father's name","","","","","","имя папы","","",""
"people","friend","","","חבר","","","","","","arkadaş"
"people","friends' names","","","","","","имена знакомых детей","","",""
"people","girl","djevojčice","girl","","","jente","девочка","nina","flicka","kız"
"people","godfather","kum/kuma","","","","","","padrino","",""
"people","godmother","","","","","","","madrina","",""
"people","grandma","baka","grandma*","סבתא","nonna","bestemor, farmor, mormor","бабушка","abuela","farmor, mormor","anneanne/babaanne/büyükanne, nine"
"people","grandpa","djed","grandpa*","סבא","nonno","bestefar, farfar, morfar","дедушка","abuelo","farfar, morfar","dede"
"people","great grandma","","","","","oldemor","","","",""
"people","great grandpa","","","","","oldefar","","","",""
"people","hairdresser","","","","parrucchiere","","","","",""
"people","lady","","lady","","","dame","","","tant",""
"people","man","striček","man","","","mann","","senor","man","adam"
"people","mommy","mama","mommy*","אמא","mamma","mamma","мама","mama","mamma","anne"
"people","mother's name","","","","","","имя мамы","","",""
"people","neighbor","","","שכן","","","","","",""
"people","people","ljudi","people","","persone","","люди","","människor",""
"people","person","","person","איש","","menneske","человек","persona","person",""
"people","pet's name","","","","","","клички домашних животных","","",""
"people","policeman","","","","vigile","","","","","polis"
"people","sibling","","","","","","","","","kardeş"
"people","sir","","","","signore/a","","","","",""
"people","sister","sestra","sister","","sorella","søster","сестра/имя сестры","hermana","syster","abla"
"people","teacher","","teacher","גננת","maestro/a","","","maestra","lärare",""
"people","uncle","stric, ujak","uncle","דוד","zio","onkel","дядя","tio","farbror, morbror","amca, dayı"
"people","woman","","","","","","","senora","",""
