word,word_count,mean_sent_length,final_count,solo_count
kayacak,2.0,3.0,2.0,0.0
babandan,3.0,5.0,0.0,0.0
yemeyi,1.0,4.0,1.0,0.0
binmiyor,1.0,3.0,0.0,0.0
kamyonu,4.0,4.0,0.0,0.0
çın,2.0,3.0,0.0,0.0
çık,22.0,3.40909090909,5.0,1.0
tutmuş,1.0,6.0,0.0,0.0
söndükten,1.0,4.0,0.0,0.0
yapmayacağım,1.0,2.0,1.0,0.0
filan,12.0,4.66666666667,5.0,0.0
köpekle,1.0,6.0,0.0,0.0
yürüyemiyor,1.0,2.0,0.0,0.0
tavşan,8.0,2.75,5.0,0.0
boyuyor,10.0,2.3,9.0,0.0
kayarken,1.0,5.0,1.0,0.0
yiyeceklermiş,1.0,5.0,1.0,0.0
salıncağın,1.0,8.0,0.0,0.0
kemer,1.0,6.0,1.0,0.0
yutmadın,1.0,1.0,1.0,1.0
bahsetsene,1.0,7.0,0.0,0.0
rezalet,1.0,1.0,1.0,1.0
doğrusunu,2.0,3.0,1.0,0.0
seviyormusun,62.0,2.87096774194,45.0,2.0
karıştıracaksın,1.0,1.0,1.0,1.0
haber,2.0,3.5,1.0,0.0
bitsinde,1.0,4.0,0.0,0.0
oyuncakçıdan,1.0,1.0,1.0,1.0
yüksek,5.0,3.8,0.0,0.0
sepet,2.0,5.0,1.0,0.0
uyuycakmış,1.0,3.0,0.0,0.0
lunaparkta,1.0,3.0,1.0,0.0
gezeceksin,1.0,2.0,1.0,0.0
hoş,1.0,4.0,0.0,0.0
severmi,2.0,2.5,1.0,0.0
dağılmasın,1.0,4.0,0.0,0.0
çiziyor,1.0,4.0,1.0,0.0
kreminin,1.0,4.0,0.0,0.0
amcanı,1.0,3.0,0.0,0.0
günün,4.0,4.25,1.0,0.0
vuracaksın,2.0,5.5,0.0,0.0
daha,88.0,4.36363636364,11.0,0.0
bilmiyordum,1.0,4.0,1.0,0.0
gitmeyi,1.0,3.0,0.0,0.0
takacam,1.0,3.0,0.0,0.0
maymununu,1.0,2.0,1.0,0.0
fırınlan,1.0,3.0,1.0,0.0
gitmek,6.0,4.33333333333,0.0,0.0
gitmem,1.0,7.0,0.0,0.0
Gülhane,1.0,2.0,0.0,0.0
gitmez,3.0,3.33333333333,2.0,0.0
Özgeyle,2.0,4.0,2.0,0.0
atarmı,1.0,4.0,0.0,0.0
koşuyorlarmı,3.0,2.33333333333,2.0,2.0
kullanın,1.0,3.0,1.0,0.0
üstündekimi,1.0,1.0,1.0,1.0
hepiniz,1.0,3.0,0.0,0.0
sincaba,1.0,4.0,0.0,0.0
gittiğin,1.0,5.0,0.0,0.0
kıvır,1.0,3.0,0.0,0.0
neymiş,6.0,2.16666666667,2.0,0.0
hurt,1.0,4.0,1.0,0.0
bukelamun,2.0,3.0,0.0,0.0
kaçıncı,2.0,4.0,0.0,0.0
ağzındakini,6.0,2.83333333333,3.0,0.0
eskiden,2.0,3.0,0.0,0.0
şımar,1.0,1.0,1.0,1.0
üfledin,1.0,2.0,0.0,0.0
yapılmış,2.0,3.0,1.0,0.0
tatlısı,1.0,2.0,1.0,0.0
nefis,10.0,2.3,5.0,3.0
sürmüşler,1.0,4.0,0.0,0.0
iniyoruz,2.0,1.5,2.0,1.0
atmıyorsun,3.0,2.66666666667,2.0,0.0
tanımadığı,1.0,6.0,0.0,0.0
düştünmü,2.0,1.0,2.0,2.0
biletçi,3.0,9.66666666667,0.0,0.0
oynayacaksın,2.0,2.0,1.0,0.0
A,2.0,3.5,0.0,0.0
baylarda,1.0,2.0,0.0,0.0
uçağin,1.0,11.0,0.0,0.0
yapalım,34.0,3.88235294118,18.0,1.0
nerdeymiş,1.0,3.0,1.0,0.0
aşagıdaki,1.0,1.0,1.0,1.0
böceği,1.0,3.0,0.0,0.0
yatıyoruz,1.0,4.0,1.0,0.0
giderler,4.0,3.0,1.0,0.0
yatıyorum,1.0,2.0,0.0,0.0
köpek,74.0,3.87837837838,25.0,3.0
koyuyoruz,4.0,4.0,2.0,0.0
acaba,39.0,4.05128205128,28.0,0.0
dövüyormu,1.0,3.0,1.0,0.0
Özge'ye,3.0,2.33333333333,3.0,0.0
temizlermi,1.0,2.0,1.0,0.0
geçir,1.0,3.0,1.0,0.0
koyuyorum,2.0,4.5,1.0,0.0
çoktandır,1.0,5.0,0.0,0.0
ateş,2.0,4.5,0.0,0.0
içersine,2.0,4.0,1.0,0.0
saklıyormusun,1.0,1.0,1.0,1.0
