"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"games_routines","all gone","","","","אין","","","","","","","yok"
"games_routines","angry","","","","כועס","","","","","","",""
"games_routines","bath","kupanje","bath","bath","לעשות אמבטיה","fare il bagno","bade","","","","bada",""
"games_routines","bathroom","","","","","","","","","","","banyo"
"games_routines","bless you","","","","","","","","","salud","",""
"games_routines","boogeyman","","","","","","","","","","","öcü"
"games_routines","bravo","","","","","","","","","","","aferin"
"games_routines","breakfast","doručak","breakfast","breakfast","","","frokost","","завтрак","","frukost",""
"games_routines","bye","pa-pa","bye","bye","ביי","","ha det","пока","пока, до свидания","adiosby","hej då","bay-bay, güle-güle, hoşçakal"
"games_routines","call (on phone)","","","call (on phone)","","","","","","","",""
"games_routines","can","","","","","","","","можно","","",""
"games_routines","can (auxiliary)","","","","אפשר","","","можно","","","",""
"games_routines","clap","","","","מחא כפיים","","","","","","","alkış"
"games_routines","come on","","","","","","","","","","","hadi"
"games_routines","cut it out","","","","","basta","","","","","",""
"games_routines","dinner","večera","dinner","dinner","","","middag","","ужин","","middag",""
"games_routines","don't","nemoj","don't","","די","","ikke","брысь/кыш, нельзя","нельзя","","","hayır"
"games_routines","eat","","","","ללכת לאכול","","","","","","",""
"games_routines","food","","","","","","","","","","","mama"
"games_routines","give me five!","","","give me five!","","","","","","","",""
"games_routines","go","","","","","via","","","","","",""
"games_routines","go potty","","","go potty","","","","","","","",""
"games_routines","goal","","","","","","","","","","","gol"
"games_routines","gonna get you!","","","gonna get you!","","","","","","","",""
"games_routines","good boy/girl","","","","","bravo","","","","","",""
"games_routines","good morning","","","","בוקר טוב","","","","доброе утро","buendia","","günaydın"
"games_routines","good night","laku noć","night night","night night","לילה טוב","","god natt","","спокойной ночи","buennoc","god natt","iyi geceler"
"games_routines","hands up","","","","","","","","","manos2","",""
"games_routines","have","","","","יש לי","","","","","","",""
"games_routines","have hands","","","","","","","","","tengman","",""
"games_routines","hello","dobar dan","hello","hello","","","","","здравствуй/те","","","alo"
"games_routines","here (take)","","","","","","","на (возьми)","","","",""
"games_routines","hi","bog/bok!","hi","hi","היי","ciao","hei","привет","привет","hola","hej",""
"games_routines","hide and seek","","","","","","","тю-тю","","","","saklambaç"
"games_routines","kiss","","","","","","","","","besitos","",""
"games_routines","let","","","","","","","","пусть/пускай","","",""
"games_routines","like this","","","","","","","вот так!","","","",""
"games_routines","look at me","","","","","","","","","ojitos","",""
"games_routines","lullaby","","","","","","","","","","","ninni"
"games_routines","lunch","ručak","lunch","lunch","","","lunsj","","обед, полдник","","lunch",""
"games_routines","more","","","","עוד","","","","","","",""
"games_routines","music","","","","","","","","","","","müzik"
"games_routines","nap","spavanje","nap","nap","ללכת לישון","nanna","sovetid","","","hacerme","sova middag",""
"games_routines","need","","","","","","","надо/нужно","","","",""
"games_routines","nightnight/good morning","","","","","buonanotte/buongiorno","","","","","",""
"games_routines","no","ne","no","no","לא","no","nei","не буду, не хочу, нет","не буду, не хочу, нет","no","nej",""
"games_routines","no more","","","","","non c'èpiù/più","","","","","",""
"games_routines","not","","","","","","","","","","inte",""
"games_routines","ok","","","","","","","","","","","tamam"
"games_routines","one two three","","","","","un due tre","","","","unodstr","",""
"games_routines","owie","","","","כואב לי","","","","","","",""
"games_routines","pattycake","ringe-raja","pattycake","pattycake","","","klappe kake","","","tortlit","baka kaka",""
"games_routines","peekaboo","ku-ku","peekaboo","peekaboo","לשחק בקוקו","cuccù-settete","borte! (lek hvor ansikt gjemmes og plutselig vises)","ку-ку","","","tittut",""
"games_routines","please","molim","please","please","בבקשה","","vær så snill","","пожалуйста","porfavo","varsågod",""
"games_routines","potty","","","","","","","","","","","çiş, kaka"
"games_routines","present","","","","","","","","","","","var"
"games_routines","pretend","","","","לעשות כאילו","","","","","","",""
"games_routines","row row your boat","","","","","","","","","acerrin","",""
"games_routines","shame","","","","","","","","","","","ayıp"
"games_routines","shh","psst-tiho","shh/shush/hush","","","","hysj","","","shhh","sch /hysch",""
"games_routines","shh/shush/hush","","","shh/shush/hush","","zitto/sch","","","","","",""
"games_routines","shopping","","","shopping","","","","","","","",""
"games_routines","should","","","","צריך","","","","","","",""
"games_routines","sing","","","","","","","","","","","şarkı"
"games_routines","sleep","","","","","","","","","","","uyku"
"games_routines","snack","","","snack","","","","","","","",""
"games_routines","so big!","","","so big!","","","","","","","",""
"games_routines","somersault","","","","","","","","","","","takla"
"games_routines","surprise","","","","","","","","","","","sürpriz"
"games_routines","take in (arms)","","","","","","","","","","","kucak"
"games_routines","ten fingers","","","","עשר אצבעות","","","","","","",""
"games_routines","thank you","hvala","thank you","thank you","","","takk","спасибо","cпасибо","gracias","tack","teşekkür/sağol"
"games_routines","thankyou","","","","","grazie/prego","","","","","",""
"games_routines","this little piggy","","","this little piggy","","","","","","","",""
"games_routines","tickle","","","","","","","","","cosqlit","",""
"games_routines","to poop/go potty","","","","","fare la popò/pipì","","","","","",""
"games_routines","to slap","","","","","dare le tottò","","","","","",""
"games_routines","turn around","","","turn around","","","","","","","",""
"games_routines","uh oh","","","","","","","ай-я-яй","","","",""
"games_routines","wait","čekaj!","wait","","","","vent","","","","vänta",""
"games_routines","walk","","","","ללכת לטייל","","","","","","",""
"games_routines","wanna","hoću","wanna/want to","","אני רוצה","","vil","","","","vill /vill ha",""
"games_routines","watch out","","","","","","","","","","","dikkat"
"games_routines","who's there","","","","","","","кто там?","кто там?","","",""
"games_routines","yes","da","yes","yes","כן","sì","ja","да","да","si","ja","evet"
