"category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"furniture_rooms","armchair","fotelja","","","כורסה","","","кресло","кресло","","","koltuk"
"furniture_rooms","balcony","","","","","","","","балкон","","",""
"furniture_rooms","basement","","","basement","","","","","","","",""
"furniture_rooms","bathroom","kupaonica","bathroom","bathroom","שירותים","bagno","bad","туалет","туалет","bano","badrum","banyo"
"furniture_rooms","bathtub","kada","bathtub","bathtub","אמבטיה","vasca da bagno","badekar","ванна","ванна","tina","badkar",""
"furniture_rooms","bed","krevet","bed","bed","מיטה","letto","seng","кровать","кровать","cama","säng","yatak"
"furniture_rooms","bedroom","","bedroom","bedroom","חדר שינה","","soverom","","","recamar","sovrum",""
"furniture_rooms","bell","","","","","","","","","","","zil"
"furniture_rooms","bench","","","bench","","","","","","","",""
"furniture_rooms","bidet","","","","","bidè","","","","","",""
"furniture_rooms","carpet","","","","שטיח","tappeto","","ковер","ковер","","",""
"furniture_rooms","chair","stolica","chair","chair","כיסא","sedia","stol","стул","стул","silla","stol","sandalye/iskemle"
"furniture_rooms","closet","","","closet","","armadio","","","шкаф","ropero","",""
"furniture_rooms","computer","","","","","","","","","","","bilgisayar"
"furniture_rooms","corridor","","","","","","","коридор","коридор","","",""
"furniture_rooms","couch","kauč","couch","couch","","divano","sofa","диван","диван","sofa","soffa",""
"furniture_rooms","cradle","kolijevka","","","","","","","","","",""
"furniture_rooms","crib","krevetić","crib","crib","לול","culla","","","","cuna","","beşik"
"furniture_rooms","cupboard","","","","","","","","","","","dolap"
"furniture_rooms","curtain","","","","וילון","","","","","","",""
"furniture_rooms","door","vrata","door","door","דלת","porta","dør","дверь","дверь","puerta","dörr","kapı"
"furniture_rooms","drawer","ladica","drawer","drawer","מגירה","cassetto","skuff","","","cajon","låda","çekmece"
"furniture_rooms","dryer","","","dryer","","","","","","","",""
"furniture_rooms","elevator","","","","","","","лифт","лифт","","",""
"furniture_rooms","faucet","","","","","","","кран","кран","","",""
"furniture_rooms","fireplace","","","","","","","","","","öppen spis",""
"furniture_rooms","floor","","","","","","","пол","пол","","",""
"furniture_rooms","furniture","","","","","","","","мебель","","",""
"furniture_rooms","garage","garaža","garage","garage","חניה","","garasje","","","cochera","garage",""
"furniture_rooms","high chair","","high chair","high chair","","","barnestol","","","","barnstol",""
"furniture_rooms","highchair","","","","","seggiolone","","","","","",""
"furniture_rooms","kitchen","kuhinja","kitchen","kitchen","מטבח","cucina","kjøkken","кухня","кухня","cocina","kök","mutfak"
"furniture_rooms","ladder","","","","","","","лестница","лестница","","",""
"furniture_rooms","living room","dnevna soba","living room","living room","סלון","","stue","","","sala","vardagsrum",""
"furniture_rooms","livingroom","","","","","salotto","","","","","",""
"furniture_rooms","mirror","","","","","","","зеркало","зеркало","","",""
"furniture_rooms","oven","pećnica","oven","oven","תנור","","ovn","","печка","horno","ugn","fırın"
"furniture_rooms","pillow","","","","","","","","","","","yastık"
"furniture_rooms","play pen","ogradica (vrtić za igranje)","play pen","play pen","","","lekegrind","","манеж","","lekrum",""
"furniture_rooms","porch","","","porch","","terrazza","","","","","","balkon"
"furniture_rooms","potty","tuta","potty","potty","סיר","","potte","","","bacinic","potta","lazımlık/oturak, tuvalet"
"furniture_rooms","refrigerator","hladnjak","refrigerator","refrigerator","מקרר","frigorifero","kjøleskap","","","refrig","kylskåp","buzdolabı"
"furniture_rooms","rocking chair","","rocking chair","rocking chair","","","gyngestol","","","","gungstol",""
"furniture_rooms","room","","","room","","camera","","комната","комната","cuarto","","oda"
"furniture_rooms","shower","","","shower","","doccia","","душ","душ","regader","",""
"furniture_rooms","shutter","","","","תריס","","","","","","",""
"furniture_rooms","sink","umivaonik","sink","sink","כיור","lavandino","vask","","","lavabo","diskbänk",""
"furniture_rooms","sofa","","","sofa","","","","","","","",""
"furniture_rooms","stairs","stepenice","stairs","stairs","מדרגות","scala","trapp","ступеньки","ступеньки","escaler","trappa","merdiven"
"furniture_rooms","stove","štednjak","stove","stove","","","komfyr","","","estufa","",""
"furniture_rooms","table","stol","table","table","שולחן","tavolo","bord","стол","стол","mesa","bord","masa"
"furniture_rooms","tablecloth","","","","מפה","","","","","","",""
"furniture_rooms","tv","televizor","tv","tv","טלויזיה","televisione/tv","tv","","","televis","tv","televizyon"
"furniture_rooms","wardrobe","ormar","","","","","","","","","",""
"furniture_rooms","washing machine","","","washing machine","","","","","","","",""
"furniture_rooms","washingmachine","","","","","lavatrice","","","","","",""
"furniture_rooms","window","prozor","window","window","חלון","finestra","vindu","окно","окно","ventana","fönster","pencere"
