"lexical_class","uni_lemma","Croatian WG","English WG","Hebrew WG","Italian WG","Norwegian WG","Russian WG","Spanish WG","Swedish WG","Turkish WG"
"function_words","a","","","","un/uno/una","","","un, una, unas, unos","",""
"function_words","a little","","","מעט ","","","","","",""
"function_words","a lot","","","","","","","mucho","",""
"function_words","above","","","","sopra","","","","",""
"function_words","again","","","","","","","otravez","","yine/gene"
"function_words","all","sve","all","","","alle","все","todo","alla","hepsi"
"function_words","already","","","","","","","ya","",""
"function_words","also","","","גם ","","","","tambien","",""
"function_words","another","drugi","another","","altro/un altro","en annen","другой","","en till",""
"function_words","at","","","","a","","","","",""
"function_words","away","","away","","lontano","bort","","","bort",""
"function_words","back","iza","back","מאחורי","","bak","","atras","bakom","arkasında"
"function_words","be","","","","","","","estar, ser","",""
"function_words","between","","","בין","","","","","",""
"function_words","by","","","","da","","","","av",""
"function_words","down","dolje","down","למטה","giù","ned","вниз/внизу","abajo","ner",""
"function_words","down (stairs)","","","","","nede","","","",""
"function_words","enough","","","","","","хватит","","",""
"function_words","everyone","","","כולם","","","","","",""
"function_words","far","","","רחוק","","","","","",""
"function_words","for","","","","per","","","para","",""
"function_words","front","","","","","","","","","önünde"
"function_words","he","","","","lui","","","el1","",""
"function_words","her","njezin","her","הינה","","hennes","она","ella","henne",""
"function_words","here","tu","","","","","вот, здесь, тут","aqui","","burada, işte"
"function_words","him","","","","","","","lo","",""
"function_words","himself/herself","","","","","","сам/сама","","",""
"function_words","his","njegov","his","הוא","suo/a","hans","он","su","hans","onun"
"function_words","home","","","","","","домой","","",""
"function_words","how","kako","how","איך","come?","hvordan","","como","hur","nasıl"
"function_words","how much","","","כמה","","","","","",""
"function_words","i","ja","i","אני","io","jeg","я","yo","jag","ben"
"function_words","in","u","in","","in","i","","en","i","içinde"
"function_words","in front","ispred","","","","","","","",""
"function_words","inside","unutra","inside","בפנים","dentro","inn, inne, inni","","adentro","inuti","içeride"
"function_words","it","to","it","","","det","","le","det","ona"
"function_words","little (amount)","malo","","","","","","","",""
"function_words","many","puno","","המון","","","","","",""
"function_words","me","meni","me","אותי","me/mi","meg","мне/меня","me","","bana"
"function_words","mine","","mine","שלי","","","","mia, mias, mio, mios","min",""
"function_words","more","još, više","more","עוד","","mer","еще","mas","mer","daha/bir daha"
"function_words","much","","","הרבה","","","","","","çok"
"function_words","my","moj","my","","mio/a","min","мой/моя","","mig","benim"
"function_words","no one","","","אף אחד","","","","","",""
"function_words","none","ništa","none","כלום","","ingen","","nohay","ingen","hiç"
"function_words","not","nema","not","","","ikke","нет","","inte",""
"function_words","nothing","","","","","ingenting","","nada","",""
"function_words","of","","","","di","","","de","",""
"function_words","off","","off","","","av","","","",""
"function_words","on","na","on","על ","","på","","encima","på","üstünde/üzerinde"
"function_words","other","","other","","","","","","andra","öbürü"
"function_words","our","","","","","","наш","","",""
"function_words","out","van(i)","out","","","ut, ute","","afuera","ut","dışarıda"
"function_words","same","","same","","","samme","","","samma",""
"function_words","self","","","","","","","se","",""
"function_words","she","","","","lei","","","","",""
"function_words","some","","some","","","noe","","","några","biraz"
"function_words","someone","","","","","noen","","","","biri"
"function_words","that","ono","that","","quello/a","","","aquel, aquela, esa, ese, eso","den, den där","o, şu"
"function_words","the","","","","il, lo, la, i, gli, le","den","","el2, la, las, los","",""
"function_words","them","","","","","","","les","",""
"function_words","there","tamo","there","שם","","der","там, туда","ahi, allaall","där","orada, şurada"
"function_words","these","","","","","","","estas, estos","",""
"function_words","they","","","","loro","","","ellas, ellos","",""
"function_words","this","ovo","this","זה","questo/a","denne, dette","это/этот/эти","esta, este, esto","den här","bu"
"function_words","those","","","","","","","esas, esos","",""
"function_words","to you","","","","","","","","","sana"
"function_words","under","ispod","under","מתחת","sotto","under","","","under","altında"
"function_words","up","gore","up","למעלה","su","opp","вверх/вверху/наверх/наверху","arriba","upp",""
"function_words","up (stairs)","","","","","oppe","","","",""
"function_words","us","","","","","","мы","","",""
"function_words","we","","","","noi","","","","",""
"function_words","what","što","what","מה, מה זה","che/che cosa?","hva","что?","que","vad","ne"
"function_words","when (question)","kad(a)","when","מתי","quando?","når","","","när",""
"function_words","where","","","","","","куда?","","",""
"function_words","where (question)","gdje","where","איפה","dove?","hvor","где?","dondest","var","nerede, nereye"
"function_words","which (question)","","","","","","какой?","cual","",""
"function_words","who","tko","who","מי, מי זה ","chi?","hvem","кто?","quien","vem","kim"
"function_words","whose","","","","","","чей?","","",""
"function_words","why","zašto","why","למה","perché?","hvorfor","","porque","varför","neden, niye"
"function_words","with","","","","con","","","","",""
"function_words","you","tebi, ti","you","אתה","tu, voi","du","тебе/ты","te, tu","du/din","sen"
"function_words","your","tvoj","your","שלך","tuo/a","din","твой","tuya, tuyas, tuyo, tuyos","","senin"
