"lexical_category","category","uni_lemma","Croatian WG","English WG","English WS","Hebrew WG","Norwegian WG","Russian WG","Russian WS","Spanish WG","Swedish WG","Turkish WG"
"nouns","clothing","beads",,"beads","beads",,,,"бусы","aretes","pärlor","boncuk"
"nouns","clothing","belt",,,"belt",,,,,,,
"nouns","clothing","bib",,"bib","bib","סינור","smekke","нагрудник",,"babera",,"önlük"
"nouns","clothing","boots","čizme","boots","boots","מגפיים","støvler","ботинки, сапоги","ботинки, валенки, сапоги","botas","kängor, stövel",
"nouns","clothing","button","gumb","button","button","כפתור","knapp","пуговица","пуговица","boton","knapp",
"nouns","clothing","clothes",,,,,,,"одежда",,,
"nouns","clothing","coat","kaput","coat","coat","מעיל","regntøy","куртка","куртка, пальто",,,"palto"
"nouns","clothing","diaper","pelena","diaper","diaper","טיטול","bleie","памперс",,"panal","blöja","bez (çocuk bezi)"
"nouns","clothing","dress","haljina","dress",,"שמלה","kjole",,"платье","vestido",,"elbise"
"nouns","clothing","dress  (object)",,,"dress",,,,,,,
"nouns","clothing","dress (object)",,,,,,"платье",,,,
"nouns","clothing","glasses",,,,,,,,"lentes",,"gözlük"
"nouns","clothing","gloves",,,"gloves",,,,"перчатки",,,
"nouns","clothing","hat","kapa","hat","hat","כובע","lue","шапка","шапка","sombrer","mössa","şapka"
"nouns","clothing","jacket","jakna","jacket","jacket",,"jakke",,,,"jacka","ceket"
"nouns","clothing","jeans",,"jeans","jeans","ג'ינס",,,,,"jeans",
"nouns","clothing","mittens","rukavice",,"mittens",,"votter","варежки/рукавицы","варежки/рукавицы",,"vantar",
"nouns","clothing","necklace",,"necklace","necklace","שרשרת","halskjede",,,"collar","halsband","kolye"
"nouns","clothing","nightgown",,,,,,,,,"nattlinne",
"nouns","clothing","overalls",,,,,,,,,"overall",
"nouns","clothing","pacifier",,,,,"smokk",,,,,
"nouns","clothing","pajamas","pidžama","pajamas","pajamas","פיג'מה","pysjamas",,"пижама","pijama","pyjamas","pijama"
"nouns","clothing","pants","hlače","pants","pants","טריינינג","bukse","штаны","брюки, штаны","pantalo","byxa","pantolon"
"nouns","clothing","sandals",,,,"סנדלים",,"босоножки","босоножки",,,
"nouns","clothing","scarf","šal",,"scarf",,,"шарф","шарф",,,
"nouns","clothing","shirt","majica","shirt","shirt","חולצה","t-skjorte","кофта, рубашка","кофта, майка, рубашка","playera","skjorta","gömlek, tişört"
"nouns","clothing","shoe","cipele","shoe","shoe","נעליים","sko","туфли","кроссовки, обувь, туфли","zapato","sko","ayakkabı/pabuç"
"nouns","clothing","shorts",,"shorts","shorts","מכנסיים","shorts",,"шорты","shorts",,
"nouns","clothing","skirt","suknja",,,"חצאית",,,,"falda",,
"nouns","clothing","slipper","papuče",,"slipper",,,"тапки","тапки",,,"terlik"
"nouns","clothing","sneaker",,,"sneaker",,,,,,,
"nouns","clothing","snowsuit",,,"snowsuit",,,"комбинезон","комбинезон",,,
"nouns","clothing","sock","čarape","sock","sock","גרביים","sokker","носки","носки","calceti","socka","çorap"
"nouns","clothing","sweater","vesta/džemper","sweater","sweater","סוודר","genser",,"свитер","sueter","tröja","kazak"
"nouns","clothing","swimsuit",,,,"בגד ים",,,,,,
"nouns","clothing","tank top",,,,"גופיה",,,,,,
"nouns","clothing","tights",,,"tights",,"strømpebukse","колготки","колготки",,,
"nouns","clothing","underpants",,,"underpants",,,,,,,
"nouns","clothing","underwear","gaćice",,,,,"трусы","трусы","calzon",,
"nouns","clothing","vest",,,,"אפודה",,,,,,"yelek"
"nouns","clothing","zipper","zatvarač","zipper","zipper","רוכסן","glidelås",,,"cierre","blixtlås",
